location_name	top_category	latitude	longitude
CVS,Health and Personal Care Stores,40.984233,-73.777635
Magno's Grill,Restaurants and Other Eating Places,40.906871,-73.783264
Lala's Grill,Restaurants and Other Eating Places,40.907117,-73.784652
Bad Axe Throwing,Other Amusement and Recreation Industries,40.911413,-73.779197
Jungle Gym Martial Arts New Rochelle,Other Amusement and Recreation Industries,40.925782,-73.788933
Pearle Vision,Health and Personal Care Stores,40.974539,-73.80394
Super Mercado Mexico Incorporated,Grocery Stores,40.909897,-73.788933
Tedesco Auto Body,Automotive Repair and Maintenance,40.91255,-73.775041
Pookie and Sebastian,Clothing Stores,40.989358,-73.807762
Tri State Archers,Other Amusement and Recreation Industries,40.909767,-73.805882
Jos. A. Bank Clothiers,Clothing Stores,40.970637,-73.80707
El Sabor,Grocery Stores,40.911478,-73.777842
Russell Cellular,Electronics and Appliance Stores,40.946817,-73.79433
Midway Shopping Center,Lessors of Real Estate,40.991177,-73.822727
Stephenson Park,Museums, Historical Sites, and Similar Institutions,40.918642,-73.773797
Red Mango,Restaurants and Other Eating Places,40.932072,-73.759315
Hertz,Automotive Equipment Rental and Leasing,40.889881,-73.818065
Fordham Wigs Of Westchester,Health and Personal Care Stores,40.911792,-73.782359
The Alcott School,Child Day Care Services,40.991163,-73.802991
Westcop Childrens Center For Learning,Child Day Care Services,40.917344,-73.790089
Neptune Park,Museums, Historical Sites, and Similar Institutions,40.891214,-73.782272
Metro Pizza & Pasta,Restaurants and Other Eating Places,40.914565,-73.784396
Pelham Picture House,Motion Picture and Video Industries,40.907382,-73.811661
Safavieh Home Furnishings,Furniture Stores,40.898762,-73.794887
Indique Hair,Personal Care Services,40.91346,-73.808778
Camp Hillard Westchester Summer Day Camp,Other Amusement and Recreation Industries,41.012533,-73.811855
Balducci's Food Lover's Market,Grocery Stores,40.985183,-73.774923
D'Avanti Hair & Beauty Salon,Personal Care Services,40.978537,-73.807752
Jiraporn's Salon,Personal Care Services,40.930589,-73.762183
Bella Glo Beauty Spa,Personal Care Services,40.921269,-73.788062
Villa Maria Pizza,Restaurants and Other Eating Places,40.929518,-73.751319
210 Spa,Personal Care Services,40.908415,-73.781848
B & B's 5th Ave Pub,Restaurants and Other Eating Places,40.919713,-73.805179
London Luxury Beds,Furniture Stores,40.911464,-73.782968
B & A Spa,Personal Care Services,40.914599,-73.772743
A Game Sports,Other Amusement and Recreation Industries,40.900197,-73.793981
Storage Pros,Lessors of Real Estate,40.919112,-73.788575
Magen David Sephardic Congregation,Religious Organizations,40.972707,-73.774965
