occupation	latitude	longitude	zipcode
CVS	A	40.984233	-73.777635
Rosen_Robert_C_Dr	A	40.972638	-73.794658
Magno's_Grill	B	40.906871	-73.783264
Larchmont_Orthodontic_Group	A	40.933201	-73.758398
Lala's_Grill	B	40.907117	-73.784652
Bad_Axe_Throwing	B	40.911413	-73.779197
Jungle_Gym_Martial_Arts_New_Rochelle	B	40.925782	-73.788933
AT&T	C	40.99518	-73.819832
Kubersky_Steven_M_MD	A	41.005315	-73.81248
Pearle_Vision	A	40.974539	-73.80394
Super_Mercado_Mexico_Incorporated	C	40.909897	-73.788933
Tedesco_Auto_Body	D	40.91255	-73.775041
Pookie_and_Sebastian	C	40.989358	-73.807762
Tri_State_Archers	B	40.909767	-73.805882
Jos._A._Bank_Clothiers	C	40.970637	-73.80707
El_Sabor	C	40.911478	-73.777842
Russell_Cellular	C	40.946817	-73.79433
Midway_Shopping_Center	C	40.991177	-73.822727
State_Farm	C	41.00216	-73.813715
Fialk_Mark_A_MD	A	40.986364	-73.775637
Stephenson_Park	B	40.918642	-73.773797
Red_Mango	B	40.932072	-73.759315
Hertz	C	40.889881	-73.818065
Fordham_Wigs_Of_Westchester	A	40.911792	-73.782359
The_Alcott_School	A	40.991163	-73.802991
Westcop_Childrens_Center_For_Learning	A	40.917344	-73.790089
Neptune_Park	B	40.891214	-73.782272
Metro_Pizza_&_Pasta	B	40.914565	-73.784396
Pelham_Picture_House	A	40.907382	-73.811661
Safavieh_Home_Furnishings	C	40.898762	-73.794887
Dr_Elisa_Kavanagh_Podiatric_Medicine_Foot_Surgery	A	40.969977	-73.805379
Indique_Hair	B	40.91346	-73.808778
Camp_Hillard_Westchester_Summer_Day_Camp	B	41.012533	-73.811855
Verizon_Wireless_Your_Wireless	C	40.915354	-73.807444
Balducci's_Food_Lover's_Market	C	40.985183	-73.774923
United_States_Postal_Service_(USPS)	C	40.946659	-73.794558
D'Avanti_Hair_&_Beauty_Salon	B	40.978537	-73.807752
Jiraporn's_Salon	B	40.930589	-73.762183
Bella_Glo_Beauty_Spa	B	40.921269	-73.788062
Villa_Maria_Pizza	B	40.929518	-73.751319
Eric_Spellman_DMD	A	40.934586	-73.762093
210_Spa	B	40.908415	-73.781848
B_&_B's_5th_Ave_Pub	B	40.919713	-73.805179
London_Luxury_Beds	C	40.911464	-73.782968
B_&_A_Spa	B	40.914599	-73.772743
A_Game_Sports	B	40.900197	-73.793981
A_B_C_Tutors	A	40.910387	-73.783565
Storage_Pros	C	40.919112	-73.788575
Magen_David_Sephardic_Congregation	A	40.972707	-73.774965
Goodwill_Industries	C	40.916725	-73.778783
Glickman_Henry_PHD	A	40.982812	-73.788786
United_Dental_Care_PC_DDS	A	40.970367	-73.804795
Fabulous_Find	C	40.990049	-73.806332
Walter_Edwards_DDS	A	40.917714	-73.787587
Pick_A_Polish	B	40.913592	-73.808781
PurePoint_Financial	C	40.994233	-73.819331
Weiss_Raymond_B_DMD	A	40.995386	-73.818011
CITGO	C	40.896378	-73.804285
Grab_Ly's_Banh_Mi	B	40.987264	-73.809807
Eye_Do_Hair_and_Makeup	B	40.915295	-73.804008
Dental_Implants_Dynamics_&_Smile_Experts	A	40.987815	-73.825158
Shelov_Steven_MD	A	41.00901	-73.789902
North_Ridge_Shopping_Center	C	40.948542	-73.792471
Larchmont_Mini_Mart	C	40.929628	-73.751597
The_Lombardi	C	40.915172	-73.784509
Pelham_Family_Dental_Arts	A	40.910169	-73.810559
Spotless_Gutter_Cleaning_&_Repair	A	40.906181	-73.777143
Coriander_Modern_Indian	B	40.928582	-73.753099
Ultimate_Image	B	40.987798	-73.809758
Dine_and_Sail	C	40.908128	-73.772222
The_Sadkhin_Complex_of_New_Rochelle	B	40.945752	-73.795187
Pizzeria_La_Rosa	B	40.901858	-73.790894
Ottavio's_Studio	C	40.904002	-73.788794
Futterman_Carol	A	40.935338	-73.755881
Colangelo_Group	C	40.920177	-73.776308
Residence_Inn_by_Marriott	B	40.911638	-73.780651
Beast_Seasonings	A	40.904347	-73.8065
Ramsey_Farm	C	40.98926	-73.765884
Montefiore_Medical_Center	A	40.988062	-73.824944
Adam_Raff_MD_Psychiatric_Solutions	A	40.988957	-73.806457
St_John_&_Paul_Church	A	40.941269	-73.756003
Aspen_Healing_Ctr	A	40.961462	-73.778882
Blais_Orthodontics	A	40.988333	-73.807092
Union_Ave_Liquor	C	40.909116	-73.794851
1019_Central_Park_Avenue	C	40.98899	-73.82439
Hitchcock_Church_Weekday_School	A	41.010911	-73.793109
Lefkowits_Henry_J_MD	A	40.982118	-73.811964
Madelyn_Jordon_Fine_Art	C	40.988836	-73.807505
Starbucks	B	40.969551	-73.806426
Cipriani_Ralph_J_MD	A	40.986369	-73.775606
The_Public_House	B	40.9135	-73.808848
Autobahn_Motors	D	40.888443	-73.78937
Sotheby’s_International_Realty	C	40.906724	-73.811552
Maria	B	40.914318	-73.773774
Sunoco	C	40.977363	-73.80557
Zoovia_Hamiduddin	A	40.913402	-73.786207
Julius_Ozick_DDS	A	40.897397	-73.782154
The_Pre_School_Learning_Center	A	40.927256	-73.794041
Inga_Modu_Rella_KW_Realty_Group	C	40.97361	-73.80325
SRW_&_Associates	C	40.91493	-73.772621
Centre_Stage	C	40.918827	-73.805356
Pelham_Cafe	B	40.913196	-73.808461
Dunkin'	B	40.902327	-73.791284
Webster_Bank	C	40.938112	-73.74512
Pelham_Country_Club	B	40.894123	-73.797041
Pediatric_Associate_Of_So_West	A	40.913629	-73.779303
Mazel_Tot	A	40.996511	-73.803726
Scarsdale_Dental_Spa_&_Wellness	A	40.970846	-73.804698
ENT_and_Allergy_Associates	A	40.91355	-73.779519
AZ_Sewers_&amp_Drain_Services	C	40.923103	-73.788024
CVS	A	40.913317	-73.775383
Julie_Kupersmith_MD	A	40.948398	-73.792434
The_Digital_Arts_Experience	A	41.010956	-73.807991
Salon_Elle	B	40.92925	-73.763738
Retina_Associates	A	40.909338	-73.781956
Palmer_Nails	B	40.931344	-73.760547
Tranquility_Spa	B	40.993249	-73.822207
Lincoln_Avenue_Service_Station	D	40.915775	-73.810067
Seven_Woks	B	40.985185	-73.777269
Children's_Creative_Corner	C	40.929458	-73.752383
Aiello_Park	B	40.902573	-73.773714
Yuen_Jeannette_MD	A	40.986376	-73.775595
Feeney_Park	B	40.911255	-73.799892
CVS	A	40.937007	-73.747363
Jeffrey_H_Jablon_MD_FACS	A	40.913616	-73.77943
Addison_Street_Spa	B	40.9293	-73.752318
Scarsdale_Ford_Service	D	40.993666	-73.820869
Fuji_Mart_Scarsdale	C	40.975926	-73.802542
Chinatown_Restaurant	B	40.918038	-73.786378
Acds_Westchester	A	40.981055	-73.816981
Great_Day_Family_Child_Care	A	40.927561	-73.7933
CITGO	C	40.919648	-73.788757
Gabriel_Bundschuh_&_Associates_Inc	C	40.970658	-73.806169
Fenway_Golf_Club	B	40.998226	-73.765697
Amy_Nail	B	40.920106	-73.805179
Larchmont's_Down_to_Earth_Farmers_Market	C	40.934292	-73.763296
Neschis_Ronald	A	40.920788	-73.74941
Westchester's_Finest_Barber_Shop	B	40.91085	-73.81016
United_States_Postal_Service_(USPS)	C	40.989911	-73.806348
Alef_Bet_Preschool	A	40.943968	-73.795506
Pelham_Family_Dental	A	40.893389	-73.784631
Donald_Bernstein_DDS_Scarsdale_Dental_Associates	A	40.969428	-73.80623
New_Generation_Electronics	D	40.921217	-73.788466
MERCEDES_BENZ_OF_NEW_ROCHELLE	C	40.918863	-73.767745
Corell_Park	B	40.993424	-73.757557
Ruby_Red	B	40.923647	-73.78792
Cherry_Lawn_Farm_Market	C	40.958957	-73.772944
Blessed_Sacrament_St_Gabriel_High_School	A	40.905992	-73.783337
The_Rail_House_10803	B	40.910941	-73.810431
Igor_Gracie_Jiu_Jitsu_Academy	B	40.916513	-73.769879
Sound_Movement	B	40.931467	-73.760821
BP	C	41.001112	-73.814222
Patricia_Moccia_William_Raveis_Real_Estate	C	40.984931	-73.775001
Brothers_of_Holy_Cross	A	40.933198	-73.780875
Soul_Healing	A	40.974313	-73.80306
Standing_Room_Only	B	40.9815	-73.776547
Alarming_Sounds	D	40.917516	-73.806836
New_Rochelle_Toll_Booth	A	40.914176	-73.783147
BP	C	40.890835	-73.817459
Scarsdale_Pizza_Station	B	40.986393	-73.808734
KeyBank	C	40.910762	-73.780576
Rainbow_Body_Works	D	40.908605	-73.782347
Wykagyl_Country_Club	B	40.947332	-73.78761
Heritage_Auto_School	C	40.911172	-73.780961
M&T_Bank	C	40.930822	-73.750332
Five_Guys	B	40.893925	-73.82012
Yeomiji	B	40.990035	-73.807466
John's_Ravioli	C	40.90233	-73.789629
Grace_Lutheran_Church	A	40.983531	-73.807117
New_Rochelle_Deli	B	40.909396	-73.780569
Marenco_Insurance_Agency	C	40.907719	-73.780752
PetSmart	C	40.974287	-73.803965
Kyle_Lipton_MD_FACOG_FACS	A	40.913494	-73.786096
Suez_Water	A	40.920843	-73.775581
Calagna_Lawrence_DDS	A	40.988496	-73.808062
Alvin_&_Friends	B	40.908828	-73.782625
J_F_Relax	B	40.906941	-73.78486
CrossFit	B	40.919464	-73.787854
CVS	A	40.910194	-73.781438
A_N_C_Veterinary_Center	A	40.914455	-73.782071
East_Avenue_Cafe	B	40.931967	-73.760079
UNL_Solutions	C	40.913914	-73.777808
Derek_A_Lewis_DDS	A	40.91332	-73.78944
Theresa_Clean_&amp_Tidy	D	40.910499	-73.783773
Marina_Di_Calabria	B	40.893723	-73.782103
BGES_Group	C	40.941197	-73.748146
Pamela_Jakubowicz_MD	A	41.005316	-73.812492
Pelham_Memorial_High_School	A	40.90334	-73.811581
Dunkin'	B	40.989064	-73.808809
Pediatric_Endocrinology_of_NY	A	41.005345	-73.812501
Integrity_Sales	C	40.909489	-73.781149
ABTsolute_Training_Systems	B	40.928196	-73.771788
Encore_Bistro_Francais	B	40.92975	-73.751918
Golden_New_York_Bagels	B	40.922724	-73.788339
New_Rochelle_Express_Service	D	40.913866	-73.775331
DeCicco_and_Sons	B	40.928605	-73.764999
Peony_Nail_&_Day_Spa	B	40.987801	-73.80829
Fratelli_Pizza	B	40.914367	-73.77366
Sandwich_King	B	40.898674	-73.777799
Dentserv_Management_Service	A	40.894492	-73.820851
Pelham_Palace	B	40.906361	-73.811862
Westchester_Child_Therapy	A	40.988306	-73.806684
Dominique's_Daycare	A	40.900525	-73.769825
Greenville_Shopping_Center	C	40.995309	-73.819713
Amore_Pizza	B	40.980757	-73.776529
A_No_1_Pizza	B	40.923144	-73.788002
SiteOne_Landscape_Supply	C	40.932423	-73.764378
V_P_Designs	C	40.904889	-73.786924
Mini's_Latin_Fusion	B	40.914868	-73.772444
Martin_P_Goldman_MD	A	40.925686	-73.804638
Howard_Baskin_DMD	A	40.912777	-73.809152
Your_Wireless	C	40.979593	-73.801576
Drake_Family_Dental_Care	A	40.89946	-73.787032
HomeGoods	C	40.995052	-73.820028
