location_name	top_category	latitude	longitude
John's Of Arthur Avenue,Restaurants and Other Eating Places,41.004518,-73.678126
The Back Nine Indoor Golf,Beverage Manufacturing,41.298598,-73.88866
Roxy's Diner Bar &amp Grill,Restaurants and Other Eating Places,41.004423,-73.67417
Eastchester Xpress,Child Day Care Services,40.870054,-73.853908
The Home Depot,Building Material and Supplies Dealers,40.990385,-73.671529
Sacred Heart Of Jesus Church,Religious Organizations,41.005202,-73.66298
Gap,Clothing Stores,40.864012,-73.826674
Seven Brothers Diner,Restaurants and Other Eating Places,40.966293,-73.869362
Mamaroneck Nails,Personal Care Services,40.952362,-73.736211
Nichols Yacht Yard,Other Motor Vehicle Dealers,40.941549,-73.732656
Golden Dragon Restaurant,Restaurants and Other Eating Places,40.922423,-73.863328
King Garden,Restaurants and Other Eating Places,40.996863,-73.665537
Clay DX Sports Labs,Other Amusement and Recreation Industries,41.012918,-73.656269
The Little Brick House Dcc Inc,Child Day Care Services,40.890351,-73.832771
Giannas Family Deli,Restaurants and Other Eating Places,40.935772,-73.860472
Carter's,Clothing Stores,40.866775,-73.82729
Michael Kors,Clothing Stores,40.927828,-73.853784
Beech Grocery Corporation,Grocery Stores,40.931298,-73.890054
Citywide Transmissions & Clutches,Automotive Repair and Maintenance,40.948873,-73.876199
Congregation Kti Early Childhood Program,Child Day Care Services,41.018093,-73.668486
Westchester Flower Shop,Florists,41.000507,-73.675403
B & R Uniforms,Used Merchandise Stores,40.891889,-73.858562
Popeyes Louisiana Kitchen,Restaurants and Other Eating Places,40.866793,-73.861288
Bob's Discount Furniture,Furniture Stores,40.866848,-73.827285
Mad Dog Service,Automotive Repair and Maintenance,40.997261,-73.666976
Pier 1 Imports,Furniture Stores,40.981128,-73.82815
Westchester Judo Club,Other Amusement and Recreation Industries,40.949862,-73.745919
Prima Pizza,Restaurants and Other Eating Places,40.890935,-73.849047
Domino's Pizza,Restaurants and Other Eating Places,40.91351,-73.837067
United Corner,Restaurants and Other Eating Places,40.912205,-73.837101
Pesrsonal Touch Home Care Early Intervention Program,Home Health Care Services,40.859619,-73.842591
Charles Cook Park,Museums, Historical Sites, and Similar Institutions,41.24528,-73.882105
Nail Ridge,Personal Care Services,41.001752,-73.680608
Public Park,Museums, Historical Sites, and Similar Institutions,40.967177,-73.731474
MC Beauty Equipment,Furniture Stores,40.895872,-73.856287
P.C. Richard & Son,Electronics and Appliance Stores,40.868235,-73.830682
Hess Mart,Gasoline Stations,41.292092,-73.854293
El Castillo Del Caribe,Restaurants and Other Eating Places,40.89266,-73.855666
Mobil,Gasoline Stations,41.003176,-73.66373
63 Maple Street Grocery,Grocery Stores,40.932241,-73.89067
Costco Wholesale Corp.,General Merchandise Stores, including Warehouse Clubs and Supercenters,40.9993,-73.661789
LIDS,Clothing Stores,40.926895,-73.852986
Amen Ministries,Other Personal Services,40.866404,-73.821116
Fenimore Plumbing Supply & Showroom,Home Furnishings Stores,40.954698,-73.734331
Nayong Philipino,Grocery Stores,41.001074,-73.675049
Dollar Tree,General Merchandise Stores, including Warehouse Clubs and Supercenters,40.886308,-73.861703
Blue Mountain Reservation County Park,Museums, Historical Sites, and Similar Institutions,41.267,-73.911306
