occupation	latitude	longitude	zipcode
John's_Of_Arthur_Avenue	B	41.004518	-73.678126	10573

The_Back_Nine_Indoor_Golf	D	41.298598	-73.88866	10567

Herc_Rentals	C	40.89085	-73.82707	10466

People's_United_Bank	C	40.880577	-73.825739	10475

Roxy's_Diner_Bar_&amp_Grill	B	41.004423	-73.67417	10573

Rolando_Chumaceiro_MD	A	40.969875	-73.883607	10701

Eastchester_Xpress	A	40.870054	-73.853908	10469

Rosmarie_Ann_Siragusa_School	A	40.917327	-73.849685	10704

The_Home_Depot	C	40.990385	-73.671529	10573

Sacred_Heart_Of_Jesus_Church	A	41.005202	-73.66298	10573

Westchester_Squash	A	40.948291	-73.74691	10543

Gap	C	40.864012	-73.826674	10475

McGuire_David_T_DC	A	41.29189	-73.880612	10567

M&T_Bank	C	40.950866	-73.735099	10543

Seven_Brothers_Diner	B	40.966293	-73.869362	10710

Life_Focus_Nutrition	A	41.002767	-73.684426	10573

John_F_Kennedy_Magnet_School	A	40.997919	-73.671577	10573

Apex_Hudson_Riverfront	C	40.931113	-73.904204	10701

Mamaroneck_Nails	B	40.952362	-73.736211	10543

Nichols_Yacht_Yard	C	40.941549	-73.732656	10543

Wake_Eden_Christian_Academy	A	40.890623	-73.839759	10466

Golden_Dragon_Restaurant	B	40.922423	-73.863328	10704

Scott_Ladore_Ameriprise_Financial_Services	A	41.006269	-73.690104	10573

Directsat_Usa	A	40.905339	-73.834264	10550

King_Garden	B	40.996863	-73.665537	10573

Yonkers_Fire_Department_Station_12	A	40.946303	-73.870582	10701

Clay_DX_Sports_Labs	B	41.012918	-73.656269	10573

The_Little_Brick_House_Dcc_Inc	A	40.890351	-73.832771	10466

Giannas_Family_Deli	B	40.935772	-73.860472	10704

Carter's	C	40.866775	-73.82729	10475

Michael_Kors	C	40.927828	-73.853784	10704

Beech_Grocery_Corporation	C	40.931298	-73.890054	10701

Citywide_Transmissions_&_Clutches	D	40.948873	-73.876199	10701

Dreiser_Physical_Therapy_&_Rehabilitation_PC	A	40.876169	-73.829447	10475

Congregation_Kti_Early_Childhood_Program	A	41.018093	-73.668486	10573

Westchester_Animal_Hospital	A	40.920497	-73.837735	10552

Westchester_Flower_Shop	C	41.000507	-73.675403	10573

B_&_R_Uniforms	C	40.891889	-73.858562	10466

Derek_Soohoo_MD_FACS	A	40.972065	-73.882012	10701

Westchester_Muslim_Center_School	A	40.927541	-73.817678	10552

Animal_Specialty_Center	A	40.967598	-73.880481	10701

Ilan_Tzur_DDS	A	40.911651	-73.839817	10550

Popeyes_Louisiana_Kitchen	B	40.866793	-73.861288	10469

Bob's_Discount_Furniture	C	40.866848	-73.827285	10475

Mad_Dog_Service	D	40.997261	-73.666976	10573

Pier_1_Imports	C	40.981128	-73.82815	10710

Annabi_Iyad_MD	A	40.944513	-73.858655	10701

Chase	C	40.893311	-73.856219	10466

Westchester_Judo_Club	B	40.949862	-73.745919	10543

Prima_Pizza	B	40.890935	-73.849047	10466

Domino's_Pizza	B	40.91351	-73.837067	10550

Chase	C	40.934626	-73.902579	10701

United_Corner	B	40.912205	-73.837101	10550

Artcraft_Silversmiths	C	40.912932	-73.849929	10550

Pesrsonal_Touch_Home_Care_Early_Intervention_Program	B	40.859619	-73.842591	10469

Social_Security	A	40.933028	-73.898189	10701

Family_Service_of_Westchester	A	40.998221	-73.664839	10573

Charles_Cook_Park	B	41.24528	-73.882105	10567

Mount_Vernon_Medical_Care_&_Rehabilitation	A	40.926597	-73.839325	10552

Nail_Ridge	B	41.001752	-73.680608	10573

Public_Park	B	40.967177	-73.731474	10543

MC_Beauty_Equipment	C	40.895872	-73.856287	10466

P.C._Richard_&_Son	C	40.868235	-73.830682	10475

Glaser_Barry_DMD	A	41.290884	-73.895464	10567

Hess_Mart	C	41.292092	-73.854293	10567

El_Castillo_Del_Caribe	B	40.89266	-73.855666	10466

Mobil	C	41.003176	-73.66373	10573

63_Maple_Street_Grocery	C	40.932241	-73.89067	10701

Costco_Wholesale_Corp.	C	40.9993	-73.661789	10573

LIDS	C	40.926895	-73.852986	10704

Madhu_S_Dagli_MD_PC	A	40.889465	-73.843162	10466

Riverdale_Orthodontics	A	40.92993	-73.900779	10701

Gee_Acupuncture_&_Herbs_PC	A	40.926124	-73.839006	10552

Amen_Ministries	B	40.866404	-73.821116	10475

Allstate_Insurance	C	40.953441	-73.844348	10710

Fenimore_Plumbing_Supply_&_Showroom	C	40.954698	-73.734331	10543

Nayong_Philipino	C	41.001074	-73.675049	10573

Liberty_Tax_Service	A	41.000049	-73.664443	10573

Dollar_Tree	C	40.886308	-73.861703	10466

Blue_Mountain_Reservation_County_Park	B	41.267	-73.911306	10567

New_On_the_Block_Deli_&_Grill	B	40.929198	-73.891925	10701

Kim_M_Tran_LMT_The_Crafty	B	41.001981	-73.660932	10573

Our_Lady_of_Mt_Carmel_St_Anthony_Schl	A	40.932869	-73.892588	10701

Tim_Morehouse_Fencing_Club	B	40.997953	-73.668028	10573

Unique_Investigations	D	40.918968	-73.859662	10704

Professional_Pet_Grooming_Salon	C	40.951987	-73.844043	10710

Parikh_Sudhir_PA	A	40.968187	-73.884184	10701

Bronx_Auto_Care	C	40.885374	-73.831036	10466

Bethel_Temple_Of_Praise	A	40.917659	-73.859198	10704

Dollar_Tree	C	40.894401	-73.85716	10466

Quality_Body_Works	D	40.896143	-73.822811	10550

BP	C	40.873092	-73.854302	10469

Bronx_Health_Sciences_High_School	A	40.874102	-73.833133	10475

Sayegh_Family_Chiropractic_A_Creating_Wellness_Center	A	40.96767	-73.883976	10701

Stories_To_Keep	C	40.948862	-73.732087	10543

County_Coml_Towing	C	40.937077	-73.858684	10704

Warshay_Jeffrey_P_Dr	A	40.953351	-73.846242	10710

Yonkers_Woodlawn_Women's_Boot_Camp	B	40.914747	-73.87379	10704

25_North_Ristorante	B	40.953932	-73.7224	10543

Harrington_John_M_Rev	A	40.914051	-73.838996	10550

John_D_Constantine_DDS	A	40.912121	-73.859606	10704

Dip_In_Car_Wash	D	40.955971	-73.738946	10543

Santa_Fe_Flower_Shop	C	41.00268	-73.664313	10573

Goose_Bay_Iv	A	40.877957	-73.832972	10475

Joseph_P_Lombardi_Ameriprise_Financial_Services	A	41.006412	-73.690247	10573

Advance_Auto_Parts	C	41.003947	-73.659171	10573

Central_Park_Avenue_Electrolysis	A	40.972037	-73.834693	10710

Burns_Playground	B	40.863206	-73.836582	10469

Green_Restoration_Group	D	40.962748	-73.735968	10543

Theory_Hair_Designs	B	40.953423	-73.844069	10710

BREIN_Brazilian_Earth_Institute	A	41.264196	-73.880513	10567

Polish_Community_Center	B	40.932742	-73.893154	10701

Bed_Bath_&_Beyond	C	40.900535	-73.81805	10550

The_Fashion_Arts_Studio_Of_Westchester	A	41.002633	-73.666148	10573

MS_Platinum_Construction_Group	C	40.956038	-73.869094	10710

GameStop	C	40.926385	-73.853171	10704

Oneness_Rehoboth_Apostolic_Church	A	40.908389	-73.830625	10550

CITGO	C	40.959571	-73.870437	10710

Wakefield_Park	B	40.906599	-73.857067	10704

Sprain_Ridge_Park	B	40.977015	-73.85404	10710

Arista_Funding	C	40.926653	-73.864894	10704

Shekinah_Glory_Ministries	A	40.936041	-73.898656	10701

GCC_Asset_Management	A	40.936762	-73.902669	10701

iMiller_Public_Relations	C	40.949761	-73.728107	10543

Developmental_Steps_LLC	A	41.00446	-73.672492	10573

Famous_Footwear	C	40.976498	-73.830259	10710

Town_of_Rye	A	40.989822	-73.667243	10573

New_York_Cancer_&_Blood_Specialists	A	40.860129	-73.842728	10469

Pinot's_Palette	C	40.949027	-73.733441	10543

Mount_Vernon_Optometry_Associates	A	40.91162	-73.839844	10550

Lincoln_Park_Jewish_Center	A	40.916677	-73.872653	10704

N_Y_Eye_Care	A	40.90822	-73.872907	10704

NYC_DOB_Signs	C	40.909259	-73.850092	10550

Susan_E_Wagner_Day_School	A	40.890773	-73.85863	10466

Michael_Kors	C	40.863897	-73.827441	10475

True_Tax_Solutions	A	40.962766	-73.85643	10710

Iyad_Annabi_MD	A	40.944499	-73.858637	10701

C_Town_Supermarkets	C	40.883884	-73.848989	10466

LINE-X	E	40.908087	-73.875949	10704

Customers_Bank	C	41.003517	-73.683409	10573

Portchester_Smile_Center	A	40.99159	-73.674123	10573

Assyrian_Church_of_the_East	A	40.930882	-73.903461	10701

Red_Lobster	B	40.869043	-73.82713	10475

Yonkers_American_Towing	C	40.929894	-73.895824	10701

City_Of_Mount_Vernon_Youth_Bureau_Columbus_Elem	A	40.919752	-73.840015	10552

Mar_Insurance_Brokerage	C	41.006439	-73.690369	10573

The_Children's_Place	C	40.866782	-73.825734	10475

Hatuey_Cigars	C	40.949508	-73.731863	10543

Westchester_Ballroom	B	40.955994	-73.864792	10710

Vinny's_Luncheonette	B	41.004448	-73.660331	10573

Chase	C	41.002544	-73.662177	10573

LEGOLAND_Discovery_Center	B	40.966848	-73.857169	10710

J_B_Auto_Center	D	40.913769	-73.85728	10704

Euro_Eatery_&_Market	C	40.919632	-73.860432	10704

Reliable_Taxi	E	40.912769	-73.833681	10550

Traphagen_School	A	40.920983	-73.82145	10552

Heritage_Bar_&_Restaurant	B	40.903387	-73.865873	10704

Mulligans_Outdoor_Cafe	B	41.04399	-73.689403	10573

Trevor_Park_&_Playground	B	40.952817	-73.896957	10701

Sofia's_Family_Daycare	A	40.861653	-73.854169	10469

Daisy_Nails	B	40.935543	-73.861843	10704

Hudson_Valley_Chiropractic_&_Nutrition_Office	A	40.95342	-73.851474	10710

Villa_Maria_Pizzeria	B	40.862255	-73.843079	10469

New_York_State_DMV_Office	A	40.936075	-73.900746	10701

Veronicas_Dairy_&_Deli_Inc	B	40.903054	-73.86615	10704

Olga's_Beauty_Salon	B	40.909067	-73.846123	10550

Bareskin_Medspa	B	41.00433	-73.674111	10573

Glitzzy_Hair_Bronx	B	40.875345	-73.851215	10469

Astor_Collegiate_Academy	A	40.860265	-73.860388	10469

Jackson_Hewitt_Tax_Service	A	40.876139	-73.848288	10469

Etain_Yonkers	C	40.934747	-73.900695	10701

CitiMed	A	40.875093	-73.860047	10469

Sephora	A	40.864761	-73.82641	10475

Thera_Ex	A	40.955708	-73.870682	10710

Switz_Auto_Glass_Services	C	40.912403	-73.848329	10550

New_England_Tile_&_Stone	C	41.001456	-73.665439	10573

Photo_Dynamics_&_Maintenance	C	40.917711	-73.871292	10704

One_Family_Deli_Grocery	C	40.943368	-73.898545	10701

Jet_Direct_Mortgage	C	40.86895	-73.843742	10469

Against_All_Odds	C	40.864154	-73.82681	10475

GNC_(General_Nutrition_Centers)	A	40.927568	-73.85335	10704

CVS	A	41.000106	-73.67914	10573

Lola_On_The_Grill	B	40.953405	-73.843978	10710

King_Street_Rehab	B	41.027622	-73.668654	10573

State_Farm	C	40.9363	-73.898632	10701

Westchester_Audiology_&_Hearing_Aid_Specialist	A	41.002777	-73.684429	10573

Speedway	C	40.956343	-73.737797	10543

Fu_Hing_Restaurant	B	40.934466	-73.896354	10701

CITGO	C	40.888814	-73.841608	10466

Allstate_Insurance	C	40.950243	-73.734153	10543

Mamaroneck_Community_Nursery_School	A	40.950784	-73.728939	10543

Sound_Shore_Vision_Center	A	40.953994	-73.724014	10543

Montoni_Mario_Dr_Poditrst	A	40.925754	-73.867946	10704

Nawab	B	40.933204	-73.899396	10701

Don_Bosco_Community_Cntr	A	40.996826	-73.664117	10573

Royal_Caribbean_Bakery	E	40.897618	-73.825809	10550

21st_Century_Oncology	A	40.929649	-73.896617	10701

Yonkers_Fire_Department_Station_13	A	40.912971	-73.858226	10704

Jones_Prestige_Cut	B	40.897227	-73.85475	10466

ConocoPhillips	C	40.951598	-73.744233	10543

Beulah_Seventh_Day_Adventist_Church	A	40.900436	-73.838229	10550

Cornerstone_Academy_For_Social_Action	A	40.883022	-73.830758	10475

Christian_Love_Tabernacle	A	40.935604	-73.898569	10701

The_Nail_Bar	B	40.92577	-73.838218	10552

202_Kitchen_Wood_Fired_Pizza_&_Grandma's_Pies	B	41.289822	-73.837237	10567

Fortunoff_Backyard_Store	C	40.980867	-73.829264	10710

Anna's_Attic	C	40.903507	-73.866349	10704

NISSAN_CITY_OF_PORT_CHESTER	C	40.996155	-73.669729	10573

Village_Insurance	C	41.002379	-73.667479	10573

College_Hunks_Hauling_Junk_and_Moving	E	40.95415	-73.738659	10543

S_D_Gavani_MD_FACC	A	40.964	-73.83961	10710

Cabana_Restaurant_&_Bar	B	40.939113	-73.88814	10701

SMITH_CAIRNS_FORD	C	40.932529	-73.854829	10704

Boston_Road_Best_Motors	C	40.885139	-73.829074	10475

Burgerim	B	40.939491	-73.743835	10543

Enko's_European_Barber	B	40.90248	-73.863721	10704

John_T_White_Ecc	A	40.875927	-73.852057	10469

Is_181_Pablo_Casals	A	40.874982	-73.832181	10475

Sin_Dulce	B	41.003313	-73.661462	10573

Eastchester_Heights_Community_Center	B	40.877728	-73.849035	10469

Schultze_Asset_Management	A	41.00641	-73.690233	10573

Raba_Construction	C	40.924236	-73.861812	10704

Rye_Ridge_Barber_Shop	B	41.002796	-73.683121	10573

Eastern_Abstract_Corporation	C	40.863249	-73.857966	10469

Chopt_Creative_Salad	B	41.003031	-73.683152	10573

Tri_City_Auto_Parts_&_Accessories	D	40.954781	-73.73938	10543

Blue_Mountain_Middle_School	A	41.261159	-73.886176	10567

Deli_King	B	40.91233	-73.844035	10550

Len_Captan_OD_Sarlin_Opticians	A	40.951471	-73.734888	10543

Mount_Vernon_Auto_Clinic	D	40.926049	-73.837947	10552

Co_Op_City_Cdc	A	40.87059	-73.831772	10475

Mazzio_Joanne_Cnm	A	41.289875	-73.893845	10567

Felice_Landscaping	C	40.953952	-73.733391	10543

Gun_Hill_Auto_Center	D	40.873885	-73.856323	10469

HSBC_Bank	C	40.974728	-73.834096	10710

Yonkers_Animal_Shelter	C	40.967658	-73.860332	10710

Zumiez	C	40.863684	-73.827686	10475

Monarca_Florist	C	40.948423	-73.868904	10701

