latitude	longitude	zipcode	category
41.004518	-73.678126	10573	K
41.298598	-73.88866	10567	MF
40.89085	-73.82707	10466	M
40.880577	-73.825739	10475	R
41.004423	-73.67417	10573	K
40.969875	-73.883607	10701	CC
40.990385	-73.671529	10573	ST
41.005202	-73.66298	10573	V
40.864012	-73.826674	10475	ST
41.29189	-73.880612	10567	CC
40.950866	-73.735099	10543	R
40.966293	-73.869362	10710	K
41.002767	-73.684426	10573	CC
40.931113	-73.904204	10701	R
40.941549	-73.732656	10543	ST
40.922423	-73.863328	10704	K
41.006269	-73.690104	10573	M
40.996863	-73.665537	10573	K
40.946303	-73.870582	10701	X
41.012918	-73.656269	10573	ER
40.935772	-73.860472	10704	K
40.866775	-73.82729	10475	ST
40.927828	-73.853784	10704	ST
40.931298	-73.890054	10701	G
40.948873	-73.876199	10701	SR
40.876169	-73.829447	10475	CC
40.920497	-73.837735	10552	SR
41.000507	-73.675403	10573	SR
40.891889	-73.858562	10466	ST
40.972065	-73.882012	10701	CC
40.967598	-73.880481	10701	SR
40.911651	-73.839817	10550	CC
40.866793	-73.861288	10469	K
40.866848	-73.827285	10475	ST
40.997261	-73.666976	10573	SR
40.981128	-73.82815	10710	ST
40.944513	-73.858655	10701	CC
40.893311	-73.856219	10466	R
40.949862	-73.745919	10543	ER
40.890935	-73.849047	10466	K
40.91351	-73.837067	10550	K
40.934626	-73.902579	10701	R
40.912205	-73.837101	10550	K
40.912932	-73.849929	10550	ST
40.933028	-73.898189	10701	X
40.998221	-73.664839	10573	CC
41.24528	-73.882105	10567	ER
40.926597	-73.839325	10552	CC
40.967177	-73.731474	10543	ER
40.895872	-73.856287	10466	ST
40.868235	-73.830682	10475	ST
41.290884	-73.895464	10567	CC
41.292092	-73.854293	10567	U
40.89266	-73.855666	10466	K
41.003176	-73.66373	10573	U
40.932241	-73.89067	10701	G
40.9993	-73.661789	10573	ST
40.926895	-73.852986	10704	ST
40.889465	-73.843162	10466	CC
40.92993	-73.900779	10701	CC
40.926124	-73.839006	10552	CC
40.866404	-73.821116	10475	SR
40.953441	-73.844348	10710	R
40.954698	-73.734331	10543	ST
41.001074	-73.675049	10573	G
41.000049	-73.664443	10573	SR
40.886308	-73.861703	10466	ST
41.267	-73.911306	10567	ER
40.929198	-73.891925	10701	K
40.997953	-73.668028	10573	ER
40.918968	-73.859662	10704	MF
40.951987	-73.844043	10710	ST
40.968187	-73.884184	10701	CC
40.885374	-73.831036	10466	ST
40.917659	-73.859198	10704	V
40.894401	-73.85716	10466	ST
40.896143	-73.822811	10550	SR
40.873092	-73.854302	10469	U
40.96767	-73.883976	10701	CC
40.948862	-73.732087	10543	ST
40.937077	-73.858684	10704	M
40.953351	-73.846242	10710	ST
40.914747	-73.87379	10704	ER
40.953932	-73.7224	10543	K
40.914051	-73.838996	10550	V
40.912121	-73.859606	10704	CC
40.955971	-73.738946	10543	SR
41.00268	-73.664313	10573	SR
41.006412	-73.690247	10573	M
41.003947	-73.659171	10573	ST
40.972037	-73.834693	10710	ST
40.863206	-73.836582	10469	ER
40.962748	-73.735968	10543	SR
40.932742	-73.893154	10701	K
40.900535	-73.81805	10550	ST
40.956038	-73.869094	10710	ST
40.926385	-73.853171	10704	ST
40.908389	-73.830625	10550	V
40.959571	-73.870437	10710	U
40.906599	-73.857067	10704	ER
40.977015	-73.85404	10710	ER
40.926653	-73.864894	10704	R
40.936041	-73.898656	10701	V
40.936762	-73.902669	10701	M
40.949761	-73.728107	10543	ST
41.00446	-73.672492	10573	CC
40.976498	-73.830259	10710	ST
40.989822	-73.667243	10573	X
40.860129	-73.842728	10469	CC
40.949027	-73.733441	10543	ST
40.91162	-73.839844	10550	ST
40.916677	-73.872653	10704	V
40.90822	-73.872907	10704	ST
40.909259	-73.850092	10550	M
40.863897	-73.827441	10475	ST
40.962766	-73.85643	10710	SR
40.944499	-73.858637	10701	CC
40.883884	-73.848989	10466	G
40.908087	-73.875949	10704	M
41.003517	-73.683409	10573	R
40.99159	-73.674123	10573	CC
40.930882	-73.903461	10701	V
40.869043	-73.82713	10475	K
40.929894	-73.895824	10701	M
41.006439	-73.690369	10573	R
40.866782	-73.825734	10475	ST
40.949508	-73.731863	10543	ST
40.955994	-73.864792	10710	ER
41.004448	-73.660331	10573	K
41.002544	-73.662177	10573	R
40.966848	-73.857169	10710	ER
40.913769	-73.85728	10704	SR
40.919632	-73.860432	10704	G
40.912769	-73.833681	10550	SR
40.903387	-73.865873	10704	K
41.04399	-73.689403	10573	K
40.952817	-73.896957	10701	ER
40.95342	-73.851474	10710	CC
40.862255	-73.843079	10469	K
40.936075	-73.900746	10701	M
40.903054	-73.86615	10704	K
40.876139	-73.848288	10469	SR
40.934747	-73.900695	10701	WT
40.875093	-73.860047	10469	CC
40.864761	-73.82641	10475	ST
40.955708	-73.870682	10710	CC
40.912403	-73.848329	10550	WT
41.001456	-73.665439	10573	ST
40.917711	-73.871292	10704	ST
40.943368	-73.898545	10701	G
40.86895	-73.843742	10469	R
40.864154	-73.82681	10475	ST
40.927568	-73.85335	10704	ST
41.000106	-73.67914	10573	ST
40.953405	-73.843978	10710	K
41.027622	-73.668654	10573	ER
40.9363	-73.898632	10701	R
40.956343	-73.737797	10543	U
40.934466	-73.896354	10701	K
40.888814	-73.841608	10466	U
40.950243	-73.734153	10543	R
40.953994	-73.724014	10543	ST
40.925754	-73.867946	10704	CC
40.933204	-73.899396	10701	K
40.996826	-73.664117	10573	V
40.897618	-73.825809	10550	MF
40.929649	-73.896617	10701	CC
40.912971	-73.858226	10704	X
40.951598	-73.744233	10543	U
40.900436	-73.838229	10550	V
40.935604	-73.898569	10701	V
41.289822	-73.837237	10567	K
40.980867	-73.829264	10710	ST
40.903507	-73.866349	10704	ST
40.996155	-73.669729	10573	SR
41.002379	-73.667479	10573	R
40.95415	-73.738659	10543	SR
40.964	-73.83961	10710	CC
40.939113	-73.88814	10701	K
40.932529	-73.854829	10704	SR
40.885139	-73.829074	10475	SR
40.939491	-73.743835	10543	K
41.003313	-73.661462	10573	K
41.00641	-73.690233	10573	M
40.924236	-73.861812	10704	ST
40.863249	-73.857966	10469	R
41.003031	-73.683152	10573	K
40.954781	-73.73938	10543	SR
40.91233	-73.844035	10550	K
40.951471	-73.734888	10543	ST
40.926049	-73.837947	10552	SR
41.289875	-73.893845	10567	CC
40.953952	-73.733391	10543	ST
40.873885	-73.856323	10469	SR
40.974728	-73.834096	10710	R
40.967658	-73.860332	10710	ST
40.863684	-73.827686	10475	ST
40.948423	-73.868904	10701	SR
40.926032	-73.835432	10552	R
40.973957	-73.864411	10710	G
40.922535	-73.86419	10704	R
40.967188	-73.884906	10701	CC
40.863394	-73.827362	10475	ST
40.870294	-73.845264	10469	K
40.917917	-73.837253	10550	V
40.869644	-73.844134	10469	ST
41.002446	-73.667672	10573	CC
40.912823	-73.849165	10550	K
40.965339	-73.838858	10710	K
40.873815	-73.856142	10469	CC
40.921319	-73.862081	10704	CC
40.888012	-73.831579	10466	K
40.951542	-73.735044	10543	M
