latitude	longitude	zipcode	category
40.940584	-73.742598	10543	K
40.874021	-73.85523	10469	U
40.879692	-73.84748	10469	M
40.900296	-73.83662	10550	SR
40.905862	-73.870963	10704	R
40.979379	-73.831149	10710	K
40.885354	-73.830938	10466	SR
40.864075	-73.827653	10475	M
40.961236	-73.7247	10543	X
40.871763	-73.855008	10469	ST
41.260358	-73.883628	10567	K
40.916647	-73.872672	10704	SR
40.908589	-73.850717	10550	ST
40.957322	-73.737647	10543	SR
40.927554	-73.853342	10704	ST
41.000111	-73.679142	10573	ST
40.887555	-73.860945	10466	ST
40.953419	-73.843948	10710	K
40.957521	-73.737263	10543	SR
40.967662	-73.881467	10701	P
41.01464	-73.661049	10573	ER
40.952221	-73.857212	10710	SR
41.007526	-73.662962	10573	ER
40.876553	-73.829466	10475	K
40.992213	-73.674005	10573	M
40.951701	-73.727622	10543	SR
40.897942	-73.818956	10550	ER
40.933143	-73.89894	10701	ST
40.899798	-73.831759	10550	V
40.893059	-73.85791	10466	G
40.913025	-73.837524	10550	ST
40.926451	-73.853728	10704	ST
40.872261	-73.850903	10469	K
40.875118	-73.855694	10469	ST
41.012718	-73.656526	10573	M
40.934466	-73.896354	10701	K
40.888683	-73.841577	10466	U
40.937285	-73.898261	10701	V
40.912987	-73.850019	10550	ST
40.933028	-73.898189	10701	M
41.003269	-73.680964	10573	CC
40.930777	-73.894674	10701	G
40.996686	-73.672492	10573	ST
40.951995	-73.845121	10710	ST
40.863097	-73.843784	10469	K
40.859677	-73.84341	10469	CC
41.003461	-73.67883	10573	SR
40.92371	-73.865363	10704	M
40.949907	-73.733138	10543	K
40.882638	-73.82551	10475	SR
40.951143	-73.734518	10543	K
40.891894	-73.853272	10466	U
40.864141	-73.826814	10475	G
41.324018	-73.882302	10567	ST
40.935604	-73.898569	10701	V
40.932779	-73.896536	10701	ST
41.289794	-73.837257	10567	K
40.889527	-73.843188	10466	R
40.996697	-73.665478	10573	K
40.870065	-73.840055	10469	M
40.946303	-73.870582	10701	X
40.9346	-73.892449	10701	K
40.976327	-73.831131	10710	ST
40.908944	-73.850915	10550	SR
40.949508	-73.731863	10543	ST
40.955877	-73.864768	10710	ER
41.004456	-73.660319	10573	G
40.913061	-73.857963	10704	MF
41.002586	-73.662168	10573	R
41.008585	-73.660084	10573	HH
41.008533	-73.661515	10573	R
40.950279	-73.734168	10543	ST
40.893311	-73.856219	10466	R
40.890945	-73.849119	10466	K
40.93447	-73.897541	10701	ST
40.928383	-73.895911	10701	K
40.883865	-73.831887	10475	K
40.916326	-73.850239	10704	V
40.874677	-73.856838	10469	V
40.927824	-73.853761	10704	ST
40.931298	-73.890054	10701	G
40.948915	-73.876194	10701	SR
40.876169	-73.829447	10475	CC
40.917207	-73.859135	10704	CC
40.952672	-73.726987	10543	K
40.887842	-73.860095	10466	MF
40.969856	-73.883294	10701	K
41.292186	-73.89307	10567	CC
40.91035	-73.836154	10550	M
41.00348	-73.68321	10573	K
40.893656	-73.845084	10466	SR
40.967672	-73.883986	10701	CC
40.880743	-73.839133	10469	SR
41.292605	-73.879073	10567	M
41.002335	-73.664467	10573	K
40.942351	-73.740345	10543	CC
41.002534	-73.667821	10573	K
41.004798	-73.667117	10573	G
40.903446	-73.866976	10704	SR
40.935118	-73.903912	10701	K
40.876362	-73.847948	10469	G
40.968203	-73.884157	10701	CC
40.942598	-73.883664	10701	ST
40.934515	-73.902707	10701	K
40.94954	-73.848219	10710	CC
40.935866	-73.886223	10701	SR
40.980469	-73.831058	10710	K
40.929418	-73.899226	10701	ER
40.951733	-73.727665	10543	K
40.91767	-73.83942	10550	K
40.910178	-73.837671	10550	ST
40.898157	-73.85029	10466	K
40.883572	-73.837138	10466	V
40.935609	-73.859647	10704	K
40.91959	-73.865099	10704	K
41.000278	-73.664204	10573	K
41.012209	-73.656202	10573	K
