occupation	latitude	longitude	zipcode
Blue_Mountain_Tavern	B	41.260358	-73.883628	10567

Broadview_Senior_Living_at_Purchase_College	B	41.051385	-73.689663	10573

Gemstone_Kosher_Catering	E	40.916647	-73.872672	10704

Favored_Beauty_Salon_&_Variety	B	40.889945	-73.85961	10466

Garvey_School	A	40.877851	-73.832736	10475

Unitex_Textile_Rental_Services	C	40.908589	-73.850717	10550

Tony_&_Son's_Autobody	D	40.957322	-73.737647	10543

Village_Pizza_&_Pasta	B	40.940584	-73.742598	10543

ACS_Heating_Oil_Service	C	40.874021	-73.85523	10469

Multi_Services	C	40.879692	-73.84748	10469

Green_&_Clean_Laundry	E	40.900296	-73.83662	10550

State_Farm	C	40.905862	-73.870963	10704

Korea_Garden	B	40.979379	-73.831149	10710

Longfellow_School	A	40.896358	-73.830937	10550

Mr_Credit_Autos	C	40.885354	-73.830938	10466

T_Mobile_Store	C	40.864075	-73.827653	10475

Village_Of_Mamaroneck_Fire_Department_Halstead_Manor_Engine_And_Hose_Company_4	A	40.961236	-73.7247	10543

Skaller_Supply_Company	C	40.871763	-73.855008	10469

Mavis_Discount_Tire	D	40.957521	-73.737263	10543

Ruki_Driving_School	A	40.871673	-73.848016	10469

EVCI_Career_College	A	40.935285	-73.90353	10701

United_States_Postal_Service_(USPS)	C	40.967546	-73.881527	10701

Joseph_Curtis_Recreation_Park	B	41.01464	-73.661049	10573

GNC_(General_Nutrition_Centers)	A	40.927554	-73.853342	10704

CVS	A	41.000111	-73.679142	10573

Artist_&_Craftsman_Supply	C	40.887555	-73.860945	10466

Lola_On_The_Grill	B	40.953419	-73.843948	10710

King_Street_Home_Inc	B	41.027754	-73.66893	10573

Ej_Murray_Memorial_Skating_Center	B	40.952221	-73.857212	10710

Al's_Service_Station	A	41.007526	-73.662962	10573

Kennedy_Fried_Chicken	B	40.876553	-73.829466	10475

Port_Chester_Shopping_Center	C	40.992213	-73.674005	10573

The_UPS_Store	C	40.951701	-73.727622	10543

Hutchinson_Fields	B	40.897942	-73.818956	10550

Rainbow_Shops	C	40.933143	-73.89894	10701

Life_Line_Of_Hope_In_Christ_Inc	A	40.899798	-73.831759	10550

Key_Food	C	40.893059	-73.85791	10466

The_Geeks_Online	C	40.913025	-73.837524	10550

Sterling_Optical	A	40.926451	-73.853728	10704

Whisper's_Lounge	B	40.872261	-73.850903	10469

Health_Source_of_Rye_Brook	A	41.003269	-73.680964	10573

Anthony_Grocery_Ii	C	40.930777	-73.894674	10701

Artcraft_Silversmiths	C	40.912987	-73.850019	10550

Pesrsonal_Touch_Home_Care_Early_Intervention_Program	B	40.85968	-73.842469	10469

Social_Security	C	40.933028	-73.898189	10701

Dory's_Beauty_Salon	B	41.004365	-73.660469	10573

Lucia_Robin_Chirprctr	A	40.925776	-73.83456	10552

American_Family_Care	A	40.915841	-73.837155	10550

Doggie_Barber_Pet_Spa	C	40.870594	-73.831803	10475

Belle_School_of_Music	C	40.951995	-73.845121	10710

Compatible_Business_Solutions	C	40.875118	-73.855694	10469

Port_Chester_Towing	C	41.012718	-73.656526	10573

Beautifeye_Beauty	B	40.952935	-73.736509	10543

Auto_Approval_Acceptance	C	40.882638	-73.82551	10475

Frankie_&_Fanucci's_Wood_Oven_Pizzeria	B	40.951143	-73.734518	10543

Jumpstart_Advanced_Academics_&recreation_Corp	A	40.971836	-73.884446	10701

Shell_Oil	C	40.891894	-73.853272	10466

Woops_Kiosk	C	40.864141	-73.826814	10475

Marco's_Vino_&_Spirits	C	41.324018	-73.882302	10567

McDonald's	B	40.885688	-73.826956	10475

Cholankeril_Thomas_V_DDS	A	40.895256	-73.85452	10466

Emmanuel_Children's_Mission_School	A	40.910486	-73.837956	10550

Allstate_Insurance	C	40.953432	-73.84435	10710

Fenimore_Plumbing_Supply_&_Showroom	C	40.954707	-73.734211	10543

Nayong_Philipino	C	41.001074	-73.675049	10573

Casa_Cubana	A	40.925332	-73.836574	10552

FroYoLicious	B	40.914336	-73.858548	10704

R_R_&_S_Service	C	40.928026	-73.818129	10552

Ravi_Radhakrishnan_MD_Retina_Consultants_of_Westchester	A	40.925561	-73.835622	10552

Kidz_Korner_Of_Mamaroneck_Inc	A	40.960305	-73.731818	10543

Sazon_CentroAmericano	B	40.9346	-73.892449	10701

CVS	A	40.976327	-73.831131	10710

Scriptx_Pharmacy	A	40.93447	-73.897541	10701

El_Marinero	B	40.928383	-73.895911	10701

Mingles_Express_Grill	B	40.883865	-73.831887	10475

Crescent_Place_Reformed_Church	A	40.916326	-73.850239	10704

Mt_Bethel_Pentecostal_Tabernacle_Inc	A	40.874677	-73.856838	10469

Directsat_Usa	A	40.905339	-73.834264	10550

King_Garden	B	40.996697	-73.665478	10573

Aunty_Vs_Daycare	C	40.870065	-73.840055	10469

Yonkers_Fire_Department_Station_12	A	40.946303	-73.870582	10701

Michael_A_Ficazzola_MD_FACS	A	40.917207	-73.859135	10704

Sedona_Taphouse	B	40.952672	-73.726987	10543

SY_Grace_West_Indian_Market	C	40.883847	-73.831885	10475

Northwell_Health	A	40.958198	-73.718661	10543

Sprint	C	40.927866	-73.854525	10704

24_7_Lifting	E	40.90621	-73.870589	10704

Call_It_Spring	C	40.927505	-73.853399	10704

Medlaser	A	40.967986	-73.836875	10710

Vital_Care_Pharmacy	A	40.887264	-73.860398	10466

Christian_Love_Tabernacle	A	40.935604	-73.898569	10701

The_Nail_Bar	B	40.92577	-73.838218	10552

New_Main_Street_Furniture_Corp	C	40.932779	-73.896536	10701

202_Kitchen_Wood_Fired_Pizza_&_Grandma's_Pies	B	41.289794	-73.837257	10567

Western_Union	C	40.889527	-73.843188	10466

Farmers_Insurance_Group	C	40.93466	-73.892394	10701

Fratelli	B	40.863097	-73.843784	10469

D'arrigo_Philip_J_DDS	A	40.859677	-73.84341	10469

Bark_&_Learn	B	41.003461	-73.67883	10573

Total_Realty_Associates	C	40.92371	-73.865363	10704

Bar'Lees_Wine_&_Whisky_Bar	B	40.949907	-73.733138	10543

Red_Mango	B	41.00348	-73.68321	10573

Mistah_Driver_Auto_School	A	40.868694	-73.841983	10469

Basco_Locks_&_Security	B	40.893656	-73.845084	10466

Spine_And_Joint_Group	A	40.967672	-73.883986	10701

Liberty_Tax_Service	A	40.880743	-73.839133	10469

Life_Focus_Nutrition	A	41.002767	-73.684426	10573

John_F_Kennedy_Magnet_School	A	40.997962	-73.671617	10573

Apex_Hudson_Riverfront	C	40.931113	-73.904204	10701

Capri_III_Deli	C	40.865048	-73.82236	10475

European_Wax_Center_(EWC)	B	40.97829	-73.83166	10710

Footaction	C	40.927307	-73.852873	10704

American_Eagle_Outfitters	C	40.928572	-73.85453	10704

Port_Chester_Yacht_Club	C	40.99002	-73.659341	10573

La_Herradura	B	40.951695	-73.736342	10543

Yonkers_Family_Dentist	A	40.94954	-73.848219	10710

Gabriel_Sports_Car	D	40.935866	-73.886223	10701

Mont_Olympos_Diner	B	40.980469	-73.831058	10710

Vark_Park_And_Playground	B	40.929418	-73.899226	10701

Pizza_Gourmet_Restaurant	B	40.951733	-73.727665	10543

Quality_Body_Works	D	40.896267	-73.822828	10550

BP	C	40.873092	-73.854302	10469

Burger_Truck	B	40.982232	-73.829109	10710

Broadway_Seafood_Restaurant	B	40.949078	-73.893948	10701

Local_HVAC_Expert_Greenwich	C	41.00269	-73.682913	10573

First_Reformed_Church	A	40.907529	-73.837298	10550

Artistic_Touch_Hair_Salon	B	40.926566	-73.839135	10552

