occupation	latitude	longitude	zipcode
Minuteman_Press	E	40.946375	-73.795236
Hutchinson_School	A	40.916035	-73.809391
New_York_Family_Dental_Arts	A	40.910164	-73.810561
Jo-Ann_Fabric_and_Craft_Stores	C	40.991466	-73.823074
Korean_BBQ_Grill	B	40.908895	-73.781193
Viva_Ranch_Fruit_Market	C	40.909597	-73.780956
76	C	40.907881	-73.811653
Danny's_Pelham_Manor	C	40.895371	-73.817653
Town_of_Mamaroneck	B	40.936604	-73.759725
Health_Insurance_Specialists_Scarsdale	C	41.005698	-73.782753
DeCicco_and_Sons	B	40.91208	-73.809601
East_Coast_Auto_Body_Inc	D	40.931	-73.766977
Dunkin'	B	40.902327	-73.791284
Webster_Bank	C	40.938145	-73.745086
Pediatric_Associate_Of_So_West	A	40.913629	-73.779303
Dominic's_Fine_Cigars	C	40.929299	-73.751181
All_Tangled_Up	B	40.948589	-73.792331
Sound_Shore_Medical_Center_of_Westchester	A	40.912996	-73.787518
Kota_African_Hair_Braiding	B	40.917581	-73.788549
El_&_Ella_Hair_Salon	B	40.910607	-73.782423
Duck_Egg_Blue	C	41.004521	-73.794259
Blessed_Sacrament_St_Gabriel_High_School	A	40.905955	-73.784358
Rhodes_Kajukenbo_Karate	A	40.909263	-73.7945
Lubrano	A	40.932644	-73.750799
Cara_Nail	B	40.895743	-73.778833
ZinLash	B	40.921827	-73.772173
Merissa_Blais_DDS_Blais_Orthodontics	A	40.988316	-73.807121
Post_Road_Veterinary_Hospital	A	40.919396	-73.766584
El_Gran_Rodeo	B	40.915297	-73.785158
Beanberry's_Cafe_&_Yogurt_Bar	B	40.910316	-73.783565
Michaels_Stores	C	40.892947	-73.818066
Indique_Hair	B	40.91346	-73.808778
Health_Street	A	40.937066	-73.74755
AJ_Nail_Spa	B	40.933464	-73.761416
Tri_State_Archers	B	40.909767	-73.805882
Jos._A._Bank_Clothiers	C	40.970648	-73.807068
El_Sabor	C	40.911508	-73.777837
Russell_Cellular	C	40.946837	-73.794315
Enhanced_Health_Coaching	A	40.988333	-73.807099
Chico's	C	40.970985	-73.80672
Madelyn_Jordon_Fine_Art	C	40.988836	-73.807505
Starbucks	B	40.969551	-73.806426
The_Public_House	B	40.913501	-73.808856
Autobahn_Motors	D	40.888443	-73.78937
La_Herradura_Inc_II	B	40.946894	-73.795455
Cullen_Gail_Marie_DDS	A	40.989107	-73.807154
King_Gold_and_Pawn_of_New_Rochelle	A	40.910464	-73.780923
Mavis_Discount_Tire	D	40.917713	-73.785373
Abraham_S	A	40.914454	-73.784754
The_Alcott_School	A	40.991484	-73.802593
Saltzstein_Sylvia_PHD	A	41.015827	-73.78664
Mona_Lisa_Salumeria	C	40.979557	-73.801446
SIA_Tax_Relief	A	40.915443	-73.785112
Masonry_Garden_Supplies	C	40.985669	-73.83413
Joe's_Deli	C	40.911274	-73.796694
Alexdidmyhair	B	40.973415	-73.804268
KUMO_Japanese_Restaurant	B	40.974568	-73.803824
Family_Chiropractic_&_Wellness_Center	A	40.932843	-73.761819
Athleta	C	40.97094	-73.80457
Feuerbach_John_W_DDS_FACP	A	40.934346	-73.761029
St_Gabriel's_Church	A	40.911585	-73.786448
Spotlite_Cafe	B	40.986453	-73.826463
Golding_Academy_of_Movement_and_Dance	B	40.985774	-73.809975
Olshansky_Phyllis_PHD	A	40.943018	-73.801165
Krave	B	40.907968	-73.782242
CrossFit	B	40.928169	-73.771729
Krinick_Nolan_DDS	A	40.926559	-73.773022
Hudson_Park_Bait_&_Tackle	C	40.907987	-73.770674
Club_Pilates	B	41.009223	-73.809488
Western_Union	C	40.902745	-73.79038
Harbor_One	C	40.896434	-73.785375
Fairway_Market	C	40.891948	-73.820894
Freshreno_New_York	C	40.898821	-73.799039
Calligaris	C	41.009682	-73.809182
Richard's_Passport	C	40.910159	-73.810591
Audrey_Ramsay_DDS	A	40.893373	-73.784601
Billy_&amp_Pete's_Social	B	40.935357	-73.75972
Bronx_River_Books	C	40.989935	-73.806895
O2_Hair	B	40.987004	-73.810294
Tranquility_Dental	A	40.91332	-73.789447
Vietnam's_Central	B	40.998324	-73.815272
Mckenna_Family_Chiropractic	A	40.91992	-73.804636
Magen_David_Sephardic_Congregation	A	40.972707	-73.774965
Larchmont_Temple_Inc	A	40.924729	-73.749245
Glickman_Henry_PHD	A	40.982812	-73.788786
B&A_Froyo	B	40.923058	-73.788056
Bahais_Of_Scarsdale	A	40.967483	-73.76789
Glover_Field	B	40.898575	-73.81687
Queen_City_Super_Buffet	B	40.907194	-73.783433
Hong_Kong_Restaurant	B	40.895828	-73.778763
Juliannes_Park	B	40.91898	-73.807327
Sabrosa_Deli_Juice_Bar	B	40.910514	-73.781697
Community_Financial_Services_Center_(CFSC)	C	40.90966	-73.78087
Julius_Michael_Scarsdale	B	40.990565	-73.80719
Sylvia_Blessings_Ministries	A	40.906969	-73.785929
Clarence_E_Shelton_Jr_DDS	A	40.917949	-73.787583
Pinebrook_Park	B	40.928938	-73.762954
Red_Lobster	B	40.990286	-73.823028
The_Fuller_Center_for_Housing	A	40.905255	-73.787428
Venecias_Pizzeria	B	40.909317	-73.781304
Drake_Road_Park	B	40.986879	-73.793972
Cameron_Sharkey_Park	B	40.891694	-73.781329
Kenneth_M_Trotta_Chiropractor	A	41.005341	-73.812512
Klein_Pharmacy	A	40.913044	-73.809135
New_Rochelle_Fire_Department_Station_1	A	40.912826	-73.778836
Muscolino_Paul_A_Dc	A	40.983026	-73.779117
Maria	B	40.91433	-73.773802
Sunoco	C	40.977363	-73.80557
Pretty_Nail's_Salon	B	40.905896	-73.785701
The_Avenue_Deli_Cafe	C	40.925608	-73.788841
Dorchester_Fuel_Oil_Co	C	40.893998	-73.821447
The_Applestone_Meat	C	40.972487	-73.804658
Sotheby’s_International_Realty	C	40.931451	-73.759857
Gulf_Oil	C	40.984048	-73.775027
Allstate_Insurance	C	40.91056	-73.810299
Tai_Chi_School_of_Eternal_Energy	B	40.979136	-73.807751
Radisson	B	40.913967	-73.77788
Primerica	A	40.908023	-73.78211
Lake_Innisfree	E	40.958436	-73.800539
Sang_Myung_Church_Of_New_York_Inc	A	41.005942	-73.810074
Main_Street_Boxing_&_Fitness	B	40.912815	-73.774688
Winetasters_of_Larchmont	C	40.932252	-73.758064
Sneaker_Lounge	C	40.979542	-73.801452
Dunia_Ghabour_Brow_Design	B	40.911812	-73.782237
Motorcycle_Center	C	40.907194	-73.793915
Salon_421	B	41.002297	-73.813612
The_Ambassador_of_Scarsdale	B	40.988637	-73.74849
Schaffer_Extended_Care_Center	B	40.912285	-73.788042
Beautiful_Beginnings_3D_Imaging	A	40.991529	-73.823067
Juliet_C_Lesser_PhD	A	40.927978	-73.752203
Seasons_Too_Ltd	C	40.935475	-73.747346
Candlelight_Inn	B	41.004618	-73.812779
Radiant_Light_Skin_Care	B	40.913015	-73.778977
AT&T	C	40.99518	-73.819832
Profile_by_Sanford_Scarsdale	B	40.980498	-73.776528
Fytt_Four_Lyfe	B	40.914357	-73.784834
Eye_Designs_of_Westchester	A	40.973435	-73.804256
Kidz_Korner_Of_Scarsdale	A	40.974564	-73.803938
LaGravinese_Jewelers_of_Pelham	C	40.912462	-73.8093
Western_Union	C	40.947259	-73.79403
Ben's_of_Scarsdale	C	40.997965	-73.816248
Asia_Arts	C	40.985776	-73.809993
John_Pacia_DDS	A	40.902074	-73.81175
Thrive_Fitness_And_Nutrition_Studio	B	40.886983	-73.791762
Starbucks	B	40.945854	-73.795803
Bella_Bella_Italian_Restaurant	B	40.907194	-73.784578
Main_Street_Deli_&_Grocery	C	40.914617	-73.772716
Sun_Hing_Chinese_Take_Out	B	40.927318	-73.789577
Catalano_Louis	A	40.988309	-73.80711
Manor_Service_Station	C	40.930184	-73.750057
Best_Friends_Pet_Grooming	C	40.996727	-73.817324
IHOP	B	40.934239	-73.747874
United_States_Postal_Service_(USPS)	C	40.911129	-73.812509
Henry_Barnard_School	A	40.932865	-73.773311
Shaarei_Tikvah_The_Scarsdale_Conservative_Congregation	A	40.995661	-73.80227
Cherry_Lawn_Nursery	C	40.958961	-73.77294
Permanent_Cosmetics_by_Jennifer_at_Branches_of_Beauty	B	40.976506	-73.80357
World_of_Wireless	C	40.914345	-73.773555
Cohen_Louis_D	A	40.976864	-73.816822
HomeGoods	C	40.922995	-73.772433
Anel_barbershop_&amp_Salon	B	40.910017	-73.78044
Skinny_Buddha_Organic_Cafe	B	40.989149	-73.809336
Coco_Nails	B	40.928525	-73.753007
Elizabeth_Pacia_DDS	A	40.902095	-73.811756
Metropolitan_Japanese_Ministry	A	40.992684	-73.800553
Glen_M_Applebaum_DDS	A	40.913948	-73.777835
Advance_Auto_Parts	C	40.907766	-73.778513
Boost_Mobile	C	40.914951	-73.785084
Sticks_&_Strings	C	40.989924	-73.806827
Citibank	C	40.995146	-73.819861
Giovanni_Photographic_Artist	A	40.906112	-73.789796
MK_Discount_Tire_Center	D	40.919682	-73.765181
Crystal_Nail_Salon	B	40.907751	-73.779241
Devra_Bader_Skin_Care_&_Beauty_Spa	B	40.987832	-73.809742
CubeSmart	C	40.91904	-73.788532
Tzatziki_Greek_Grill	B	40.914436	-73.773304
Great_Peking_Restaurant	B	40.915846	-73.807576
Alborada_Florist	C	40.914264	-73.774044
Banana_Republic	C	40.970524	-73.804994
Nu_Mint_Nail_&_Spa	B	40.984472	-73.774638
Fjord_Fish_Market	C	40.932921	-73.759461
Starbucks	B	40.98443	-73.777035
New_Rochelle_Fire_Department_Station_4	A	40.898248	-73.786151
Loki_Powersports	C	40.931672	-73.749898
The_Bar_Method	B	40.989024	-73.809537
For_Pet's_Sake_Grooming	C	40.914823	-73.77253
Librett_Real_Estate_Group	C	40.918574	-73.76697
Side_Door_Donuts	B	40.935389	-73.759687
Cricket_Wireless	C	40.908461	-73.781989
US_1_Auto_Sales	C	40.918037	-73.768353
New_Rochelle_Animal_Hospital	A	40.90653	-73.778205
Antonio's_Barber_Shop	B	40.932039	-73.760492
Amari_Medical	B	40.988024	-73.824959
Chiropractic_Center_of_Pelham	A	40.909431	-73.811042
Bird_Jungle	C	41.00903	-73.809665
PizzaCo	B	40.927363	-73.789702
Plaster_Palace_Pottery	C	40.930576	-73.762188
Surgeon_Thoulton_W_DVM	A	40.914425	-73.782061
Larchmont_Village_Police_Department_Larchmont_New_York	A	40.927278	-73.751542
Budget_Rent_A_Car	C	40.912237	-73.783879
Stop_&_Shop	C	40.922026	-73.774036
Lincoln_Avenue_Service_Station	D	40.915775	-73.810067
Seven_Woks	B	40.985239	-73.777289
Village_Paint_Supply_Inc_01	C	40.92898	-73.751351
uBreakiFix	C	40.946409	-73.795228
Central_Square_Cafe	B	40.993666	-73.819555
Madison_Nail	B	40.974468	-73.803855
Allied_Healthcare_Physicians	A	40.912455	-73.790511
Saxon_Woods_Golf_Course	B	40.983847	-73.759892
Gabrielle's_NY	B	40.893199	-73.819898
Scaping_Gardens	C	40.985711	-73.834607
REP_Athletics	B	40.923609	-73.758946
Spotlight_Gymnastics	B	40.895408	-73.80576
Holy_Sepulchre_Cemetery	B	40.903646	-73.798009
No_Limit_Home_Care_Agency	B	40.907757	-73.779269
Davenport_Park	B	40.896112	-73.771898
Larchmont_Pharmacy	A	40.92861	-73.765001
Green's_Natural_Foods	C	40.97452	-73.802815
The_Fountainhead	E	40.948027	-73.793515
Bango_Bowls_Scarsdale	B	40.989358	-73.807302
Huntington_Learning_Centers	A	40.97956	-73.801438
GoHealth_Urgent_Care	A	40.948687	-73.792242
L_and_R_Auto_Service	C	40.979964	-73.776409
Sunoco	C	40.908344	-73.811526
Merlos_Auto_Detailing	D	40.92394	-73.758674
Westchester_Taco_Grill	B	40.925666	-73.788886
East_Avenue_Cafe	B	40.931943	-73.76011
UNL_Solutions	C	40.913914	-73.777808
Derek_A_Lewis_DDS	A	40.91332	-73.78944
Allstate_Insurance	C	40.920846	-73.787536
Arielle_Chassen_Jacobs_DMD	A	40.989394	-73.807269
Gap	C	40.970867	-73.804771
Infinite_Yoga_Center	B	40.931772	-73.760107
Boys_&_Girls'_Club_Of_New_Rochelle_Inc	A	40.973924	-73.785481
Cynthia_McIntyre_Photography	A	40.912685	-73.781606
Meringueshop	E	40.977048	-73.804282
Casa_Amore	A	40.910958	-73.810463
Chase	C	40.968708	-73.807449
PetSmart	C	40.974245	-73.803814
Kyle_Lipton_MD_FACOG_FACS	A	40.913494	-73.786096
Kohli_Kavita	A	41.005347	-73.812499
Gandhi_Anjani_Dmd_Pc	A	40.979545	-73.801459
Danny's_Cycles	C	40.911144	-73.777715
B_&_N_Automotive	D	40.908621	-73.793972
Westmed_Medical_Group	A	40.912996	-73.780343
Five_Islands_Park	B	40.913548	-73.765528
NY_Sports_and_Spinal_Physical_Therapy	A	40.986115	-73.808743
Cantina_Lobos	B	40.906552	-73.811653
New_Ro_Suds_Laundromat	E	40.908645	-73.779964
Pink_On_Palmer	A	40.9332	-73.759017
Avanti_Associates	C	40.907018	-73.811589
United_Hebrew_Geriatric_Center	B	40.896642	-73.779034
A_N_C_Veterinary_Center	A	40.914455	-73.782071
WellSpring_Holistic_&_Green_Health_Center	A	40.933111	-73.74825
The_Laura_Miller_Team	C	40.988492	-73.808031
Wells_Fargo	C	40.989188	-73.806472
Galloway's_Bakery	E	40.980089	-73.809854
Anshe_Sholom_Synagogue	A	40.90527	-73.777
Silkie's_Saloon	B	40.909822	-73.779781
24_Hour_Fitness	B	40.998935	-73.814859
Papyrus	C	40.969986	-73.805604
Destination_XL	C	40.994468	-73.819051
CITGO	C	40.910656	-73.792244
Goosehead_Insuance_Chris_Burton_Goosehead_Insurance_Agent	C	40.918554	-73.766976
Di_Palate_Restaurant	B	40.907798	-73.77922
Western_Union	C	40.906009	-73.785517
El_Tio	B	40.911211	-73.780875
Bagel_Zone	B	40.914818	-73.772727
Metro_Deli	C	40.984426	-73.774859
Tutoring_Solutions_Learning_Center	A	40.946375	-73.795267
Generations_Auto_Body	D	40.902473	-73.791275
Patrias_Restaurant	B	40.909162	-73.781632
Java_Crave_Caffe	B	40.9873	-73.809825
Tropical_Lights_Tanning_Salon	B	40.926851	-73.789306
Shell_Oil	C	40.98676	-73.80855
The_Nook_Eatery	B	40.91504	-73.772298
Gary_M_Scharoff_DDS	A	40.945032	-73.794625
Eastern_Wellness_Acupuncture	A	40.979031	-73.807502
Massage_Envy	B	40.974723	-73.803748
Jennifer_Fischman_Houlihan_Lawrence	C	40.988478	-73.807958
Citibank	C	40.891159	-73.818779
New_Rochelle_Metro_North_Railroad_Station	E	40.912244	-73.783965
Zambetti_George	A	40.988333	-73.807131
Robert_A_Horowitz_DDS	A	40.988317	-73.807137
Personal_Care_Dental_of_Westchester	A	41.006064	-73.81192
Bellini_Baby_&_Teen_Furniture	C	41.005192	-73.81261
Arteaseta_Salon	C	40.946489	-73.795128
Madison_&_Park_Appraisal	C	40.953552	-73.793651
TD_Bank	C	40.994867	-73.818563
Village_of_Larchmont	B	40.930891	-73.761684
Achievement_Learning_Center	A	40.927099	-73.752459
Sprainbrook_Nursery	C	41.009327	-73.828191
Trader_Joe's	C	40.972255	-73.804977
Jane_Goodrich_Photography	A	40.935301	-73.756324
Fig_and_Olive	B	40.969974	-73.805616
Scarsdale_Tan_Spa	B	41.007818	-73.80986
Electrolysis_by_Caroline_Del_Juidice	D	41.004269	-73.813221
Carlo's_Restaurant	B	40.915813	-73.770814
Boys_&_Girls_Club_Of_New_Rochelle	A	40.91106	-73.799152
Sound_Shore_Pharmacy_Outpatient	A	40.912986	-73.787486
T_Mobile_Store	C	40.934061	-73.748651
Scarsdale_Family_Dental	A	40.978204	-73.806292
Klar_Tobi_B_MD_PC	A	40.923563	-73.75959
Double_Rainbow	B	40.906724	-73.811552
Playful_Wonders_Inc	A	40.898693	-73.809292
Fred's_Beauty_Salon	B	40.908563	-73.782908
New_York_Dialysis_Services_Inc	A	40.91225	-73.786829
Tengda_Asian_Bistro	B	40.987448	-73.809865
The_English_Group	B	40.930417	-73.762088
Westchester_Homes_Realty	C	40.927228	-73.781202
Nailphomaniac_Beauty_Dungeon	B	40.948557	-73.792361
Infinity	C	40.98513	-73.777483
Barney_T_McClanahan_Funeral_Home_Inc	B	40.918656	-73.788027
Hair_Dreams_Studio	B	40.948589	-73.792376
Greenville_Center	C	40.995003	-73.819851
Amore_Pizza	B	40.980716	-73.776547
D'Chef_Restaurants	E	40.914763	-73.79464
Station_Cafe	B	40.911468	-73.784169
Trustco_Bank	C	40.912952	-73.808586
Immaculate_Heart_of_Mary_Church	A	40.981738	-73.799306
Subway	B	40.907452	-73.78416
WholesalePhoneAccessories	C	40.913926	-73.77784
Bosch_Service	D	40.976965	-73.803906
Julianne_Steiner_Studio	B	40.98443	-73.774734
Fratelli_Pizzeria	B	40.914345	-73.773625
Shake_Rattle_&_Roll_Music	C	40.976386	-73.803003
French_American_School_Of_New_York	A	40.927066	-73.750641
Creative_Playthings	C	41.005917	-73.810842
Jaguar_New_Rochelle	C	40.898811	-73.794855
Sky_Brokerage	B	40.920587	-73.796406
L_Train_Cycling_Studio	E	40.930556	-73.762206
Prime_16	B	40.913746	-73.808233
