location_name	top_category	latitude	longitude
Afra Beauty Supply,Health and Personal Care Stores,40.876484,-73.849026
StilltheOne Distillery,Beverage Manufacturing,40.997632,-73.660723
BCBGeneration,Clothing Stores,40.928535,-73.855649
Gus & Nicks Auto Body,Automotive Repair and Maintenance,40.935259,-73.88327
Bartaco,Restaurants and Other Eating Places,41.00206,-73.660223
Dunkin',Restaurants and Other Eating Places,40.924167,-73.858394
Living Beauty Hair Salon,Personal Care Services,40.886132,-73.861014
Blue Mountain Tavern,Restaurants and Other Eating Places,41.260358,-73.883628
Favored Beauty Salon & Variety,Personal Care Services,40.889945,-73.85961
Unitex Textile Rental Services,Clothing Stores,40.908589,-73.850717
Tony & Son's Autobody,Automotive Repair and Maintenance,40.957322,-73.737647
Village Pizza & Pasta,Restaurants and Other Eating Places,40.940584,-73.742598
ACS Heating Oil Service,Gasoline Stations,40.874021,-73.85523
Korea Garden,Restaurants and Other Eating Places,40.979379,-73.831149
Mr Credit Autos,Automobile Dealers,40.885354,-73.830938
Skaller Supply Company,Building Material and Supplies Dealers,40.871763,-73.855008
Al's Service Station,Amusement Parks and Arcades,41.007526,-73.662962
Kennedy Fried Chicken,Restaurants and Other Eating Places,40.876553,-73.829466
Port Chester Shopping Center,Lessors of Real Estate,40.992213,-73.674005
Circle Rx,Health and Personal Care Stores,40.91447,-73.837615
Applebee's,Restaurants and Other Eating Places,40.92863,-73.854765
Electrolysis & Laser Hair Removal by Lisa,Personal Care Services,40.920849,-73.853936
GNC (General Nutrition Centers),Health and Personal Care Stores,40.927554,-73.853342
CVS,Health and Personal Care Stores,41.000106,-73.67914
Artist & Craftsman Supply,Sporting Goods, Hobby, and Musical Instrument Stores,40.887555,-73.860945
Lola On The Grill,Restaurants and Other Eating Places,40.953419,-73.843948
King Street Home Inc,Nursing Care Facilities (Skilled Nursing Facilities),41.027754,-73.66893
McDonald's,Restaurants and Other Eating Places,40.885688,-73.826956
Cupcake Me,Bakeries and Tortilla Manufacturing,40.864295,-73.822687
Hutchinson Fields,Other Amusement and Recreation Industries,40.897942,-73.818956
Rainbow Shops,Clothing Stores,40.933143,-73.89894
Life Line Of Hope In Christ Inc,Religious Organizations,40.899798,-73.831759
Key Food,Grocery Stores,40.893059,-73.85791
Simple Motive Brewing,Beverage Manufacturing,40.945408,-73.882077
Solazzo's Market,Grocery Stores,40.935295,-73.859123
Jesus Way Ministry Inc,Religious Organizations,40.889988,-73.860158
A Plus Auto Svce,Automotive Repair and Maintenance,40.953657,-73.85686
Paul's Caribbean Bakery,Bakeries and Tortilla Manufacturing,40.897617,-73.854678
Imani Cultural Academy Inc,Child Day Care Services,40.90321,-73.838176
Cortlandt Farm Market,Grocery Stores,41.292362,-73.865699
Lulus Holistic Skincare,Health and Personal Care Stores,40.875331,-73.851248
