location_name,top_category,latitude,longitude
Grocery Stores,Viva Ranch Fruit Market,40.909597,-73.780956
Gasoline Stations,76,40.907881,-73.811653
 and Musical Instrument Stores, Hobby,Sporting Goods,Danny's Pelham Manor,40.895371,-73.817653
 and Similar Institutions, Historical Sites,Museums,Town of Mamaroneck,40.936604,-73.759725
 and Musical Instrument Stores, Hobby,Sporting Goods,Jo-Ann Fabric and Craft Stores,40.991466,-73.823074
Restaurants and Other Eating Places,Korean BBQ Grill,40.908895,-73.781193
Restaurants and Other Eating Places,Dunkin',40.902327,-73.791284
Clothing Stores,Marshalls,40.922695,-73.772685
Bakeries and Tortilla Manufacturing,Sugar Mama By Kim's Bakeshop,40.931059,-73.76124
Personal Care Services,Jiraporn's Salon,40.930589,-73.762183
Personal Care Services,Bella Glo Beauty Spa,40.921294,-73.788076
Restaurants and Other Eating Places,Villa Maria Pizza,40.929512,-73.751321
 and Musical Instrument Stores, Hobby,Sporting Goods,Alice's Silver Canvas,40.929582,-73.751495
Restaurants and Other Eating Places,Nonna's Pizza Bar Restaurent,40.907736,-73.77924
Religious Organizations,Temple Israel Of New Rochelle,40.964845,-73.782493
Restaurants and Other Eating Places,El Gran Rodeo,40.915297,-73.785158
Restaurants and Other Eating Places,Beanberry's Cafe & Yogurt Bar,40.910316,-73.783565
Other Amusement and Recreation Industries,Ripped Ride,40.973213,-73.804931
Grocery Stores,Renaissance Bagel Cafe,40.915641,-73.807735
Restaurants and Other Eating Places,The Beechmont Tavern,40.926908,-73.789392
 and Musical Instrument Stores, Hobby,Sporting Goods,Children's Creative Corner,40.929458,-73.752383
 and Similar Institutions, Historical Sites,Museums,Aiello Park,40.90279,-73.773882
Other Amusement and Recreation Industries,SHRED Fitness,40.980815,-73.776494
Other Miscellaneous Store Retailers,Madelyn Jordon Fine Art,40.988836,-73.807505
Restaurants and Other Eating Places,Starbucks,40.969551,-73.806426
Automotive Repair and Maintenance,Autobahn Motors,40.888443,-73.78937
Health and Personal Care Stores,Main Street Pharmacy,40.902754,-73.790384
Motion Picture and Video Industries,Pelham Picture House,40.907454,-73.811699
Furniture Stores,Safavieh Home Furnishings,40.898763,-73.794864
Building Material and Supplies Dealers,The Home Depot,40.898819,-73.792849
Restaurants and Other Eating Places,La Herradura Inc II,40.946894,-73.795455
 and Similar Institutions, Historical Sites,Museums,De Lima Park,40.988728,-73.804921
Automobile Dealers,New Rochelle Toyota,40.914728,-73.778576
Grocery Stores,Cap's Corner Deli,40.977791,-73.806753
Restaurants and Other Eating Places,DeCicco and Sons,40.91208,-73.809601
Automotive Repair and Maintenance,East Coast Auto Body Inc,40.931,-73.766977
Other Amusement and Recreation Industries,A Game Sports,40.900384,-73.793906
Restaurants and Other Eating Places,La Riserva,40.923226,-73.761405
Other Amusement and Recreation Industries,Golding Academy of Movement and Dance,40.985774,-73.809975
Restaurants and Other Eating Places,Loupino's Delicatessen,40.905643,-73.774419
Health and Personal Care Stores,Eye Q Optometrist,40.984863,-73.777827
Clothing Stores,Athleta,40.97094,-73.80457
Religious Organizations,St Gabriel's Church,40.911585,-73.786448
Health and Personal Care Stores,CVS,40.921456,-73.787646
Personal Care Services,Fordham Wigs Of Westchester,40.911792,-73.782359
Restaurants and Other Eating Places,Hong Kong Restaurant,40.895828,-73.778763
Restaurants and Other Eating Places,Caridad & Louie's Restaurant,40.911002,-73.781499
Automotive Repair and Maintenance,Lopez's Auto Repair,40.914691,-73.794046
Religious Organizations,Yoga Center International Inc,40.978883,-73.822365
Personal Care Services,Dream Dry Scarsdale,40.98898,-73.806538
Restaurants and Other Eating Places,Villaggio Ristorante & Pizzeria,40.906143,-73.811882
Restaurants and Other Eating Places,Atit Thai Restaurant,40.907375,-73.779157
 and Musical Instrument Stores, Hobby,Sporting Goods,Modell's Sporting Goods,40.911186,-73.780282
Personal Care Services,Simplee Beautiful,40.948568,-73.792373
Restaurants and Other Eating Places,Palomino Restaurant,40.933106,-73.759085
Lessors of Real Estate,Scarsdale Center,40.970032,-73.806405
Personal Care Services,Lisa Petite Nails,40.895809,-73.779916
Restaurants and Other Eating Places,Red Lobster,40.990286,-73.823028
Restaurants and Other Eating Places,Venecias Pizzeria,40.909317,-73.781304
 and Similar Institutions, Historical Sites,Museums,Drake Road Park,40.986879,-73.793972
 and Similar Institutions, Historical Sites,Museums,Cameron Sharkey Park,40.891694,-73.781329
Lessors of Real Estate,33 Lincoln Avenue,40.916331,-73.810769
Gasoline Stations,Gulf Oil,40.984048,-73.775027
Personal Care Services,Salon Firefly,40.927277,-73.752314
Personal Care Services,Iris Nail & Spa,40.989577,-73.807764
Restaurants and Other Eating Places,Buffalo Wild Wings,40.911278,-73.780151
Personal Care Services,Henry's Barber Shop,40.987994,-73.808274
Furniture Stores,Seasons Too Ltd,40.935475,-73.747346
Restaurants and Other Eating Places,Pelham Cafe,40.913173,-73.808413
Motion Picture and Video Industries,The Rock Club,40.917693,-73.77658
Automobile Dealers,Porsche Larchmont,40.921272,-73.764703
