category	latitude	longitude
G	40.909597	-73.780956
U	40.907881	-73.811653
ST	40.895371	-73.817653
ER	40.936604	-73.759725
R	41.005698	-73.782753
CC	40.910164	-73.810561
ST	40.991466	-73.823074
K	40.908895	-73.781193
K	40.902327	-73.791284
R	40.938145	-73.745086
CC	40.913629	-73.779303
ST	40.922695	-73.772685
CC	40.908767	-73.782506
MF	40.931059	-73.76124
M	40.998878	-73.816326
M	40.91584	-73.810518
CC	40.970389	-73.804785
CC	40.913621	-73.779305
CC	40.933977	-73.758088
K	40.929512	-73.751321
ST	40.932382	-73.764405
ST	40.929582	-73.751495
K	40.907736	-73.77924
V	40.964845	-73.782493
CC	40.9337	-73.758524
SR	40.919396	-73.766584
K	40.915297	-73.785158
K	40.910316	-73.783565
ER	40.973213	-73.804914
G	40.915641	-73.807735
K	40.926908	-73.789392
SR	40.942304	-73.753978
ST	40.929458	-73.752383
ER	40.90279	-73.773882
ER	40.980815	-73.776494
SR	40.989999	-73.806335
M	40.925014	-73.791859
ST	40.988836	-73.807505
K	40.969551	-73.806426
K	40.913501	-73.808856
SR	40.888443	-73.78937
CC	40.930893	-73.761724
CC	40.908273	-73.783033
ST	40.902754	-73.790384
ER	40.907454	-73.811699
ST	40.898763	-73.794864
CC	40.970103	-73.805528
ST	40.898819	-73.792849
CC	40.896654	-73.806018
SR	40.922135	-73.772426
R	40.913606	-73.779324
K	40.946894	-73.795455
CC	40.989107	-73.807154
R	40.910464	-73.780923
ER	40.988728	-73.804921
SR	40.914728	-73.778576
CC	40.909571	-73.780185
CC	40.894419	-73.820655
G	40.977791	-73.806753
CC	40.91992	-73.804636
X	40.920069	-73.785689
K	40.91208	-73.809601
SR	40.931	-73.766977
ER	40.900384	-73.793906
R	40.988969	-73.807873
K	40.923226	-73.761405
K	40.986453	-73.826463
ER	40.985774	-73.809975
K	40.905643	-73.774419
R	40.934819	-73.748242
ST	40.984863	-73.777827
ST	40.97094	-73.80457
CC	40.934346	-73.761029
V	40.911585	-73.786448
ST	40.921456	-73.787646
K	40.895828	-73.778763
M	40.995881	-73.819026
K	40.911002	-73.781499
SR	40.914691	-73.794046
CC	40.913056	-73.778897
V	40.978883	-73.822365
CC	40.943018	-73.801165
K	40.906143	-73.811882
K	40.907375	-73.779157
SR	40.909139	-73.7816
R	40.941197	-73.748146
R	40.914868	-73.772566
ST	40.911186	-73.780282
K	40.933106	-73.759085
M	40.970032	-73.806405
CC	40.988033	-73.824929
CC	40.988957	-73.806457
CC	40.913623	-73.779318
K	40.990286	-73.823028
