location_name,top_category,latitude,longitude
Restaurants and Other Eating Places,Village Pizza & Pasta,40.940584,-73.742598
Gasoline Stations,ACS Heating Oil Service,40.874021,-73.85523
Restaurants and Other Eating Places,Korea Garden,40.979379,-73.831149
Automobile Dealers,Mr Credit Autos,40.885354,-73.830938
Building Material and Supplies Dealers,Skaller Supply Company,40.871763,-73.855008
Restaurants and Other Eating Places,Blue Mountain Tavern,41.260358,-73.883628
Personal Care Services,Favored Beauty Salon & Variety,40.889945,-73.85961
Clothing Stores,Unitex Textile Rental Services,40.908589,-73.850717
Automotive Repair and Maintenance,Tony & Son's Autobody,40.957322,-73.737647
Health and Personal Care Stores,GNC (General Nutrition Centers),40.927554,-73.853342
Health and Personal Care Stores,CVS,41.000111,-73.679142
 and Musical Instrument Stores, Hobby,Sporting Goods,Artist & Craftsman Supply,40.887555,-73.860945
Restaurants and Other Eating Places,Lola On The Grill,40.953419,-73.843948
Nursing Care Facilities (Skilled Nursing Facilities),King Street Home Inc,41.027754,-73.66893
Automotive Repair and Maintenance,Mavis Discount Tire,40.957521,-73.737263
 and Similar Institutions, Historical Sites,Museums,Joseph Curtis Recreation Park,41.01464,-73.661049
Amusement Parks and Arcades,Al's Service Station,41.007526,-73.662962
Restaurants and Other Eating Places,Kennedy Fried Chicken,40.876553,-73.829466
Lessors of Real Estate,Port Chester Shopping Center,40.992213,-73.674005
Other Amusement and Recreation Industries,Hutchinson Fields,40.897942,-73.818956
Clothing Stores,Rainbow Shops,40.933143,-73.89894
Religious Organizations,Life Line Of Hope In Christ Inc,40.899798,-73.831759
Grocery Stores,Key Food,40.893059,-73.85791
Electronics and Appliance Stores,The Geeks Online,40.913025,-73.837524
Health and Personal Care Stores,Sterling Optical,40.926451,-73.853728
 and Gift Stores, Stationery,Office Supplies,Compatible Business Solutions,40.875118,-73.855694
Personal Care Services,Beautifeye Beauty,40.952935,-73.736509
Restaurants and Other Eating Places,Fu Hing Restaurant,40.934466,-73.896354
Gasoline Stations,CITGO,40.888683,-73.841577
Religious Organizations,Messiah Baptist Church,40.937285,-73.898261
Home Health Care Services,Pesrsonal Touch Home Care Early Intervention Program,40.85968,-73.842469
Consumer Goods Rental,Social Security,40.933028,-73.898189
Grocery Stores,Anthony Grocery Ii,40.930777,-73.894674
Other Miscellaneous Store Retailers,Pet Spa,40.996686,-73.672492
Personal Care Services,Rumor Studio,41.303372,-73.879792
Personal Care Services,Giftedhand Braids,40.934392,-73.893085
Personal Care Services,The Barber Factory,40.887991,-73.847214
 and Musical Instrument Stores, Hobby,Sporting Goods,Belle School of Music,40.951995,-73.845121
Restaurants and Other Eating Places,Fratelli,40.863097,-73.843784
Other Personal Services,Bark & Learn,41.003461,-73.67883
Automobile Dealers,Auto Approval Acceptance,40.882638,-73.82551
Restaurants and Other Eating Places,Frankie & Fanucci's Wood Oven Pizzeria,40.951143,-73.734518
Child Day Care Services,Jumpstart Advanced Academics &recreation Corp,40.971813,-73.884173
Gasoline Stations,Shell Oil,40.891894,-73.853272
Grocery Stores,Woops Kiosk,40.864141,-73.826814
 and Liquor Stores, Wine,Beer,Marco's Vino & Spirits,41.324018,-73.882302
Religious Organizations,Christian Love Tabernacle,40.935604,-73.898569
