location_name	top_category	latitude	longitude
Comdoc	Electronics and Appliance Stores	42.761036	-73.821502
Lane Bryant	Clothing Stores	42.711077	-73.816115
Congregation Beth Israel	Religious Organizations	42.800477	-73.897087
Jules House	Home Health Care Services	42.700004	-73.808905
Capitaland Taxi	Sporting Goods, Hobby, and Musical Instrument Stores	42.777111	-73.900763
Sake Japanese Steakhouse	Restaurants and Other Eating Places	42.754567	-73.771034
Marino's Flying Pizza & Restaurant	Restaurants and Other Eating Places	42.79754	-73.922843
Marble and Granite	Building Material and Supplies Dealers	42.733143	-73.85749
Amber	Personal Care Services	42.743789	-73.760005
Ferrara's Automotive	Gasoline Stations	42.73327	-73.711013
Evo Salon & Spa	Personal Care Services	42.732273	-73.761729
Illusions Hair Salon	Personal Care Services	42.696419	-73.768928
LCC Solution	Home Furnishings Stores	42.791176	-73.914053
Armory Chrysler Dodge Jeep Ram FIAT of Albany Opens in New Window	Automobile Dealers	42.681537	-73.793439
Wendy's	Restaurants and Other Eating Places	42.769312	-73.820068
Chang's Garden	Restaurants and Other Eating Places	42.662046	-73.776754
BCBGeneration	Clothing Stores	42.711322	-73.814389
Rainbow Express Inc	Child Day Care Services	42.782235	-73.950268
Blockhouse Park	Museums, Historical Sites, and Similar Institutions	42.937299	-73.656249
Auntie Anne's	Restaurants and Other Eating Places	42.689354	-73.850557
United Buffet	Restaurants and Other Eating Places	42.783899	-73.916962
Clean2o Touchfree Car Wash	Automotive Repair and Maintenance	42.677274	-73.824552
Mosall's Grove	Museums, Historical Sites, and Similar Institutions	42.666156	-73.848196
Cody's Cozy Pals	Other Miscellaneous Store Retailers	42.737523	-73.797885
A True North Massage	Personal Care Services	42.685187	-73.868458
Sunoco	Gasoline Stations	42.727449	-73.795532
Tom Morrissey OD	Health and Personal Care Stores	42.784794	-73.944699
Massage by Tera	Personal Care Services	42.686774	-73.856074
Tsl Daycare Services Inc	Child Day Care Services	42.673551	-73.849488
Peter Harris Clothes	Clothing Stores	42.762102	-73.796829
Metro Mattress	Furniture Stores	42.712662	-73.815294
Spotted Zebra Learning Center	Child Day Care Services	42.714475	-73.803302
Lipstik Beauty Lounge	Personal Care Services	42.702092	-73.817889
Apropos Prom & Bridal	Clothing Stores	42.690734	-73.866573
Enterprise Rent-A-Car	Automotive Equipment Rental and Leasing	42.792357	-73.916933
ACME Auto Radiator Service	Automotive Repair and Maintenance	42.731104	-73.70424
Kimberley's A Day Spa	Personal Care Services	42.770361	-73.754541
Happy Pets Pet Sitting Services	Other Personal Services	42.792387	-73.907265
Lorenzos Italian Cafe	Restaurants and Other Eating Places	42.79139	-73.916876
LIDS	Clothing Stores	42.71054	-73.815694
House of Pops Barbershop	Personal Care Services	42.796005	-73.922303
21 Below Thai Rolling Ice Cream	Restaurants and Other Eating Places	42.770907	-73.824295
New York State Council of Catholic Schl Sprntndnts	Child Day Care Services	42.658537	-73.768454
Guido's Frozen Desserts	Restaurants and Other Eating Places	42.663031	-73.775821
Eclectic Hair Studio	Personal Care Services	42.762945	-73.799247
A Plus	Gasoline Stations	42.774523	-73.698012
JCPenney	Department Stores	42.687751	-73.847229
Market Bistro	Grocery Stores	42.753526	-73.756932
Eric Mitchell Salon	Personal Care Services	42.777634	-73.901292
Niskayuna Electrolysis	Health and Personal Care Stores	42.811659	-73.885454
Lash Blvd	Personal Care Services	42.712758	-73.828043
John D Marcella Appliances	Furniture Stores	42.800424	-73.948984
Sweet Frog	Restaurants and Other Eating Places	42.772508	-73.893992
Fucillo Kia	Automobile Dealers	42.767022	-73.889958
T.J. Maxx	Department Stores	42.696017	-73.847266
U-Haul	Automotive Equipment Rental and Leasing	42.749399	-73.868002
Latham 76 Diner	Restaurants and Other Eating Places	42.74035	-73.762508
The Center For Nia & Yoga	Other Amusement and Recreation Industries	42.724506	-73.841796
Denooyer Collision Center	Automotive Repair and Maintenance	42.717648	-73.806344
Northeast Acura	Automobile Dealers	42.764017	-73.756329
Sisters of Mercy	Religious Organizations	42.666336	-73.787524
Arian Kabob &amp Pizza	Restaurants and Other Eating Places	42.774923	-73.89736
Our World Montessori	Child Day Care Services	42.810216	-73.893051
Blowfish	Restaurants and Other Eating Places	42.68723	-73.858563
Grace Bible Church	Religious Organizations	42.803607	-73.733568
Putting On the Dog	Other Personal Services	42.764282	-73.814866
PetSmart	Other Miscellaneous Store Retailers	42.695975	-73.847053
McDonald's	Restaurants and Other Eating Places	42.768934	-73.891811
Everyday Gourmet	Restaurants and Other Eating Places	42.681722	-73.768962
Stewart's Shops	Grocery Stores	42.735115	-73.700481
Inga's Diner	Restaurants and Other Eating Places	42.700909	-73.820539
Big Lots Stores	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.73274	-73.855292
Religious of the Sacred Heart	Religious Organizations	42.66924	-73.786971
Sunoco	Gasoline Stations	42.765263	-73.938227
Days Inn	Traveler Accommodation	42.677708	-73.829014
Hidden Pet Fence of Albany	Other Personal Services	42.784031	-73.945893
Felthousen's Florist & Greenhouse	Florists	42.772159	-73.71568
Drome Sound Music Store	Sporting Goods, Hobby, and Musical Instrument Stores	42.778146	-73.900884
All in Adventures	Other Amusement and Recreation Industries	42.688354	-73.847666
River Road Park	Museums, Historical Sites, and Similar Institutions	42.802019	-73.863553
Maywood Pocket Park	Museums, Historical Sites, and Similar Institutions	42.745254	-73.857129
Subway	Restaurants and Other Eating Places	42.804564	-73.902869
Ram Orthotic & Prosthetic Lab	Health and Personal Care Stores	42.826251	-73.90809
Albany Complementary Health	Other Amusement and Recreation Industries	42.697405	-73.885536
Eden Cafe	Restaurants and Other Eating Places	42.707516	-73.774835
Shear Perfection	Personal Care Services	42.734267	-73.851381
Fitness Artist	Other Amusement and Recreation Industries	42.734874	-73.762743
Milan Laser Hair Removal	Personal Care Services	42.713609	-73.813552
Holland Nursery Ghses & Flower Shop	Florists	42.725493	-73.82367
CarMax	Automobile Dealers	42.732136	-73.852942
Party City	Office Supplies, Stationery, and Gift Stores	42.774603	-73.889642
Albany MRI Transfer Station	Travel Arrangement and Reservation Services	42.746926	-73.786805
Accent on Skin	Personal Care Services	42.72846	-73.759666
Marjorie Doyle Rockwell Center	Child Day Care Services	42.775765	-73.725676
Maharaja Indian Restaurant	Restaurants and Other Eating Places	42.709661	-73.821585
Get Air	Other Amusement and Recreation Industries	42.689334	-73.848415
Marshalls	Clothing Stores	42.754621	-73.756357
Village Square Shopping Center	Lessors of Real Estate	42.728508	-73.846452
St Peter & St Paul Ukranian Catholic Church	Religious Organizations	42.773696	-73.695049
La Mexicana Grocery	Grocery Stores	42.781715	-73.905048
Grace Nail & Spa	Personal Care Services	42.733233	-73.854352
Latham Farms Shopping Center	Lessors of Real Estate	42.755201	-73.762072
Homewood Suites by Hilton	Traveler Accommodation	42.686832	-73.852416
MGX Fitness	Other Amusement and Recreation Industries	42.691164	-73.868036
Lanie's Cafe	Restaurants and Other Eating Places	42.707655	-73.777157
Spare Time Latham	Other Amusement and Recreation Industries	42.745287	-73.750839
DogWatch by TopDog Pet Fence	Office Supplies, Stationery, and Gift Stores	42.745002	-73.753817
STS Tire & Auto Centers	Automotive Repair and Maintenance	42.772566	-73.895681
Cajun Cafe	Restaurants and Other Eating Places	42.689204	-73.849816
Short and Stout Tea	Beer, Wine, and Liquor Stores	42.689897	-73.849907
ALDO	Shoe Stores	42.689085	-73.849
SparkShoppe	Consumer Goods Rental	42.705725	-73.860884
Hertz	Automotive Equipment Rental and Leasing	42.740572	-73.807429
The Edge Skate Sharpening & Profiling	Sporting Goods, Hobby, and Musical Instrument Stores	42.712663	-73.828122
The Cheesecake Factory	Restaurants and Other Eating Places	42.710331	-73.817292
Cali Nail	Personal Care Services	42.728257	-73.759761
Albany NY Fitness & Revolution Fitness NY	Other Amusement and Recreation Industries	42.698451	-73.828752
Gayne Optical	Health and Personal Care Stores	42.804358	-73.904242
