location_name	top_category	latitude	longitude
Pizza Time	Restaurants and Other Eating Places	43.048292	-73.844924
Automotive Lockout Service	Automotive Repair and Maintenance	43.093562	-73.774284
Capital Hills at Albany	Other Amusement and Recreation Industries	42.642575	-73.813194
Cole's Collision Center of Ballston Spa	Automotive Repair and Maintenance	43.013441	-73.846316
Top Nails	Personal Care Services	43.015939	-73.844185
Ontario Park	Museums, Historical Sites, and Similar Institutions	42.621222	-73.727337
Casa Dominicana	Restaurants and Other Eating Places	42.663625	-73.771531
Saratoga	Spectator Sports	43.058362	-73.771695
Pai's Academy of Taekwondo	Other Amusement and Recreation Industries	42.848726	-73.754224
R S Taylor & Sons Brewery Taproom	Restaurants and Other Eating Places	43.077232	-73.789323
Aquilonia Comics	Book Stores and News Dealers	42.732512	-73.688204
Scotia Glenville Children's Museum	Museums, Historical Sites, and Similar Institutions	42.82767	-73.968567
Dunkin'	Restaurants and Other Eating Places	42.785141	-73.67318
SmartStyle Family Hair Salons	Personal Care Services	42.64101	-73.701917
MI Ecuador Juice Bar and Latin Cuisine	Restaurants and Other Eating Places	42.619336	-73.733882
VENT Fitness Clifton Park	Other Amusement and Recreation Industries	42.869559	-73.823911
Andy's Auto Svce	Automotive Repair and Maintenance	42.618894	-73.72937
Saratoga Zymurgist	Beer, Wine, and Liquor Stores	43.089631	-73.769683
East Wok Chinese Restaurant	Restaurants and Other Eating Places	42.858941	-73.783302
Wonderland Grooming	Other Miscellaneous Store Retailers	43.093305	-73.743593
Fairfield Inn & Suites by Marriott	Traveler Accommodation	42.967274	-73.799507
Indus Food & Convenience	Grocery Stores	42.748563	-73.681454
My Dacha Cafe	Restaurants and Other Eating Places	42.786959	-73.666259
Home2 Suites	Traveler Accommodation	42.96794	-73.799511
The Glass Guru of Albany	Building Material and Supplies Dealers	42.622193	-73.738046
Mattress By Appointment Clifton Park NY	Furniture Stores	42.852587	-73.755797
Brooks Pharmacy	Health and Personal Care Stores	42.705582	-73.659381
Druthers Brewing Albany	Beverage Manufacturing	42.665673	-73.741436
Hughes Opticians Inc	Health and Personal Care Stores	42.622847	-73.834313
Adirondack Beverage	Beer, Wine, and Liquor Stores	42.840506	-73.982223
Pede Brothers Italian Specialty Foods	Grocery Stores	42.790291	-74.003092
Saratoga Spa Golf Course	Other Amusement and Recreation Industries	43.05524	-73.801993
MAACO	Automotive Repair and Maintenance	42.669758	-73.777336
Burger King	Restaurants and Other Eating Places	42.668548	-73.77635
Malta Ridge United Methodist Church	Religious Organizations	43.012087	-73.785776
The Cookie Factory	Bakeries and Tortilla Manufacturing	42.864751	-73.769402
