location_name	top_category	latitude	longitude
Ocean Blue Restaurant & Oyster Bar	Restaurants and Other Eating Places	43.101767	-75.231625
Freeman's Barber Shop	Personal Care Services	43.103963	-75.231088
Europa Restaurant	Restaurants and Other Eating Places	43.095338	-75.215458
The Auburn	Restaurants and Other Eating Places	43.085787	-75.26049
Laura's Cafe	Restaurants and Other Eating Places	43.089023	-75.222661
Slice Pizzeria	Restaurants and Other Eating Places	43.086374	-75.261325
Jo Mar Beauty Salon	Personal Care Services	43.087143	-75.219192
Blue Moon Emporium	Clothing Stores	43.104262	-75.239773
Inkorporated Tattoo Studio	Personal Care Services	43.102151	-75.225497
Fastrac	Restaurants and Other Eating Places	43.1159	-75.210372
Baker Greenhouses	Florists	43.113819	-75.182743
Big O Bakery	Bakeries and Tortilla Manufacturing	43.097578	-75.214903
Faxton St Luke's Healtchcare	Home Health Care Services	43.09675	-75.276135
Shine	Other Amusement and Recreation Industries	43.08425	-75.265315
St Francis Desales Catholic Church	Religious Organizations	43.095798	-75.238041
AMF	Other Amusement and Recreation Industries	43.08892	-75.257804
Desserts Beyond the Ordinary	Bakeries and Tortilla Manufacturing	43.099584	-75.233084
Century Nails	Personal Care Services	43.089782	-75.21256
Lily's Party Store	Office Supplies, Stationery, and Gift Stores	43.096439	-75.241798
Clips	Personal Care Services	43.087292	-75.258949
Stewart's Shops	Grocery Stores	43.081793	-75.205188
Enterprise Rent-A-Car	Automotive Equipment Rental and Leasing	43.104601	-75.236203
The Patio Drive In	Restaurants and Other Eating Places	43.109115	-75.251014
Pizza Classic	Restaurants and Other Eating Places	43.10191	-75.230732
Utica Coffee Roasting	Restaurants and Other Eating Places	43.103451	-75.227616
First Nursery School Of Utica	Child Day Care Services	43.091393	-75.250384
The Rut	Personal Care Services	43.104683	-75.269517
Tonys Pizzeria	Restaurants and Other Eating Places	43.109852	-75.262044
T Milo Construction	Building Material and Supplies Dealers	43.224064	-75.130004
Sharon's	Personal Care Services	43.088885	-75.261903
Strosberg Wm	Furniture Stores	43.098081	-75.216337
Greater Grace Church Of Utica	Religious Organizations	43.106103	-75.265186
Cafe Hummus	Restaurants and Other Eating Places	43.088877	-75.222122
D & D Auto Sales	Automobile Dealers	43.112382	-75.26213
2m Auto Repair	Automotive Repair and Maintenance	43.092667	-75.224509
Ancora	Restaurants and Other Eating Places	43.098941	-75.235529
Rosso Verde	Restaurants and Other Eating Places	43.088644	-75.223552
Serendipity Hair Salon & Boutique	Personal Care Services	43.090743	-75.215696
Todd Hunter's Eternal Images	Personal Care Services	43.103976	-75.242741
Payne's Temple Church of God In Christ	Religious Organizations	43.097797	-75.228352
BMP Autoworx	Automotive Repair and Maintenance	43.107567	-75.24376
Minit Car Wash	Automotive Repair and Maintenance	43.087216	-75.254719
All Saints Episcopal Church	Religious Organizations	43.089295	-75.248459
Come into Jamaican Restaurants	Restaurants and Other Eating Places	43.093669	-75.23651
Dunkin'	Restaurants and Other Eating Places	43.107084	-75.244384
Frank J Robak Park	Museums, Historical Sites, and Similar Institutions	43.108802	-75.270344
Lincoln Playground	Other Amusement and Recreation Industries	43.094666	-75.253723
Mello's Subs	Restaurants and Other Eating Places	43.100527	-75.233468
Wendy's	Restaurants and Other Eating Places	43.110586	-75.218393
Pharmacy Solutions	Health and Personal Care Stores	43.088702	-75.186094
Hair by Lisa calhoun	Personal Care Services	43.10266	-75.23023
Maugeri's Auto Body	Automotive Repair and Maintenance	43.104936	-75.237744
O'Connor Park	Museums, Historical Sites, and Similar Institutions	43.08459	-75.228948
Affordable Furniture	Furniture Stores	43.099246	-75.247192
S&E Cabin Log Home Services	Automotive Repair and Maintenance	43.110619	-75.164193
