location_name	top_category	latitude	longitude
Whitcomb Auto Sales & Service	Automobile Dealers	43.026392	-74.883242
Deer Run Golf Facility	Other Amusement and Recreation Industries	43.091739	-75.397505
Spirit & Sanzone Distributors Co	Beer, Wine, and Liquor Stores	43.136235	-75.26724
Tommy Nails	Personal Care Services	43.079278	-75.644507
Plato's Closet	Used Merchandise Stores	43.082609	-75.323581
Olivia's Happy Tails	Other Miscellaneous Store Retailers	43.026351	-74.98714
Saint Mary's Roman Catholic Church	Religious Organizations	43.107567	-75.285009
Stewart's Shops	Grocery Stores	43.037136	-75.069257
Original Herkimer County Cheese	Office Supplies, Stationery, and Gift Stores	42.998822	-75.05035
Marcy Tavern	Restaurants and Other Eating Places	43.166798	-75.291686
Zion Episcopal Church	Religious Organizations	43.213006	-75.457879
Rome Access Site	Child Day Care Services	43.213888	-75.459573
Play It Again Sports	Sporting Goods, Hobby, and Musical Instrument Stores	43.094833	-75.304913
Luxury Nails	Personal Care Services	43.026179	-74.985145
Edible Arrangements	Office Supplies, Stationery, and Gift Stores	43.092187	-75.315728
Ruth And Elmer Wellin Museum Of Art	Museums, Historical Sites, and Similar Institutions	43.05114	-75.409552
Kdk Sports	Other Motor Vehicle Dealers	43.231261	-75.497157
Budget Mini Storage	Used Merchandise Stores	43.208245	-75.462467
Catholic Charities of Herkimer County	Other Personal Services	43.014156	-75.038898
Rite Aid	Health and Personal Care Stores	43.097044	-75.302518
Subway	Restaurants and Other Eating Places	43.082361	-75.315535
Tony's Pizzeria	Restaurants and Other Eating Places	43.021302	-74.991916
Pinti Field	Museums, Historical Sites, and Similar Institutions	43.208912	-75.442834
Soul Bowl	Restaurants and Other Eating Places	43.096045	-75.305118
Brass Tack Restaurant	Restaurants and Other Eating Places	43.028399	-75.059531
Rite Aid	Health and Personal Care Stores	43.212855	-75.466198
Humane Society of Rome	Other Miscellaneous Store Retailers	43.186567	-75.475823
Swan Pool	Miscellaneous Durable Goods Merchant Wholesalers	43.012461	-75.030833
Byrne Dairy	Specialty Food Stores	43.079268	-75.373585
Allen Park	Museums, Historical Sites, and Similar Institutions	43.082104	-75.647461
Adirondack Vapor	Other Miscellaneous Store Retailers	43.074233	-75.287769
Sunoco	Gasoline Stations	43.09368	-75.276219
Billy Beez	Other Amusement and Recreation Industries	43.083122	-75.315209
Skate A While	Other Amusement and Recreation Industries	43.209515	-75.463431
Niki Marie's Salon	Personal Care Services	43.01539	-75.036809
Barnes and Noble	Book Stores and News Dealers	43.0952	-75.306218
Dorfman Ava Senior Citizens Civic Center	Motion Picture and Video Industries	43.222733	-75.443852
Stewart's Shop 377	Gasoline Stations	43.303007	-75.472439
CVS	Health and Personal Care Stores	43.08378	-75.31599
Subway	Restaurants and Other Eating Places	43.214282	-75.451223
Sunoco	Gasoline Stations	43.020417	-74.991371
VarilityX3	Home Health Care Services	43.059398	-75.424435
Junior Junction Inc At St Luke's Memorial Hospital Center	Child Day Care Services	43.094755	-75.277434
Glenwood Plaza	Lessors of Real Estate	43.076403	-75.643372
Mvcaa Inc Sauquoit Head Start	Child Day Care Services	42.989597	-75.258159
Arby's	Restaurants and Other Eating Places	43.026887	-74.981497
Weight Watchers	Personal Care Services	43.029811	-75.061416
First United Presbyterian Church	Religious Organizations	43.045105	-74.858799
Appearance's Salon	Personal Care Services	43.239828	-75.437348
Carney's Corners	Restaurants and Other Eating Places	43.028586	-74.986542
Peter's Cornucopia	Health and Personal Care Stores	43.077219	-75.295676
Express	Clothing Stores	43.082657	-75.316235
Honey Brook Hobbies	Florists	43.013846	-75.035778
Kings Buffet	Restaurants and Other Eating Places	43.225004	-75.483869
Delta Lake Bible Conference Center	Museums, Historical Sites, and Similar Institutions	43.294555	-75.461074
Mobil	Gasoline Stations	43.017065	-74.803452
Burger King	Restaurants and Other Eating Places	43.024817	-74.986407
Arby's	Restaurants and Other Eating Places	43.079084	-75.648315
Sorrento's Pizzeria & Restaurant	Restaurants and Other Eating Places	43.017314	-75.033646
NextGen Car Care Centers	Automotive Repair and Maintenance	43.079004	-75.372231
Rose Petals Florist	Florists	43.042612	-74.857945
Utica Coffee Of Clinton	Restaurants and Other Eating Places	43.048322	-75.379111
Hampton	Traveler Accommodation	43.091424	-75.329325
Rome Pre Owned Auto Sales	Automobile Dealers	43.21856	-75.433744
Ascend Resort Collection	Traveler Accommodation	43.094024	-75.28453
Franklyn'S Field	Other Amusement and Recreation Industries	43.224017	-75.445975
Mount Hope Reservoir Park	Museums, Historical Sites, and Similar Institutions	43.060244	-75.65119
Zumiez	Sporting Goods, Hobby, and Musical Instrument Stores	43.082982	-75.315242
The Fireside Sunny's Kitchen	Restaurants and Other Eating Places	43.07805	-75.665173
Tony's	Restaurants and Other Eating Places	43.082689	-75.323185
Dunkin'	Restaurants and Other Eating Places	43.097986	-75.301347
Dunkin'	Restaurants and Other Eating Places	43.224416	-75.486319
Indian Castle Travel Plaza	Lessors of Real Estate	43.043523	-74.859659
Oneida Castle Village Park	Museums, Historical Sites, and Similar Institutions	43.080102	-75.63573
Alterations at Barb's & Custom Sewing	Sporting Goods, Hobby, and Musical Instrument Stores	42.996471	-75.09684
Jamrock's Island Breeze	Restaurants and Other Eating Places	43.023654	-74.98851
Applebee's	Restaurants and Other Eating Places	43.233302	-75.436785
Jo-Ann Fabric and Craft Stores	Sporting Goods, Hobby, and Musical Instrument Stores	43.0767	-75.294474
Village Tennis Courts	Other Amusement and Recreation Industries	43.023447	-74.996648
Cliff's Local Market	Grocery Stores	43.005644	-75.25582
Gigliotti's Utica Driving School	Used Merchandise Stores	43.027279	-74.980173
Tractor Supply Co.	Building Material and Supplies Dealers	43.225131	-75.488193
Trinity Episcopal Church	Religious Organizations	43.214464	-75.459022
Walgreens	Health and Personal Care Stores	43.097787	-75.303493
Presbyterian Homes & Service	Home Health Care Services	43.073655	-75.341734
Oneida Floral & Gifts	Florists	43.09425	-75.651743
Bella Cucina	Restaurants and Other Eating Places	43.083685	-75.322238
Sleeper Richard M MD	Personal Care Services	43.055706	-75.280202
Kwik Fill	Gasoline Stations	43.097131	-75.653529
Alexander Home Supply	Building Material and Supplies Dealers	43.13594	-75.278538
SavOn	Grocery Stores	43.03978	-75.622229
Green n Wave	Restaurants and Other Eating Places	43.082387	-75.314973
GameStop	Sporting Goods, Hobby, and Musical Instrument Stores	43.076169	-75.641634
Sacred Eagle Tattoos	Personal Care Services	43.016832	-75.034233
Nail & Hair Enterprise by Trina	Personal Care Services	43.077133	-75.296313
Goodyear Auto Service Centers	Automotive Repair and Maintenance	43.233825	-75.438048
Anaconda Sports	Sporting Goods, Hobby, and Musical Instrument Stores	43.09726	-75.29688
Trailer Marketing Services	Automobile Dealers	43.08331	-75.394076
JMP Guns	Sporting Goods, Hobby, and Musical Instrument Stores	43.034747	-75.065565
Catherines	Clothing Stores	43.095596	-75.31001
West Park Row Salon	Personal Care Services	43.048405	-75.379062
Archer's Auto Body	Automotive Repair and Maintenance	42.946567	-75.047002
Taj Mahal Indian Restaurant	Restaurants and Other Eating Places	43.073136	-75.289465
Rite Aid	Health and Personal Care Stores	43.053789	-75.278314
Village Pizza	Restaurants and Other Eating Places	43.072987	-75.288124
The Shops At 25 West	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.040452	-74.85995
Crestwood Golf Club	Other Amusement and Recreation Industries	43.16666	-75.292994
Hjp Cafe Vietnamese Pho Noodles Restaurant	Restaurants and Other Eating Places	43.02813	-74.988281
Liberty Gardens Thron Park	Museums, Historical Sites, and Similar Institutions	43.221638	-75.47464
STEET PONTE CHEVROLET INC	Automobile Dealers	43.046131	-74.984922
Revelations Salon & Spa	Personal Care Services	43.027357	-74.979844
Amendola's Country Florist	Florists	43.057519	-75.160024
Stewart's Shops	Grocery Stores	43.044345	-74.860918
Rizzo's Mkt	Grocery Stores	43.207193	-75.460978
Miracle-Ear	Health and Personal Care Stores	43.096311	-75.303211
Ann St Restaurant & Deli	Restaurants and Other Eating Places	43.040938	-74.858644
Cafe Florentine	Restaurants and Other Eating Places	43.091653	-75.31543
Fastrac	Restaurants and Other Eating Places	43.229569	-75.492535
GNC (General Nutrition Centers)	Health and Personal Care Stores	43.082678	-75.314674
G & S Auto	Automotive Repair and Maintenance	43.040143	-75.072333
CVS	Health and Personal Care Stores	43.043223	-75.385463
Sulphur Springs Golf Course	Other Amusement and Recreation Industries	42.975203	-75.293702
First Presbyterian Church	Religious Organizations	43.013157	-75.0387
Casler Construction Service	Building Material and Supplies Dealers	43.29717	-75.472593
Little Falls Historical Museum	Museums, Historical Sites, and Similar Institutions	43.042777	-74.859143
Harmon Field	Other Amusement and Recreation Industries	43.093599	-75.663634
St Joseph's Church	Religious Organizations	43.09871	-75.656318
Mohawk Missionary Baptist Church	Religious Organizations	43.189187	-75.456814
New York & Company	Clothing Stores	43.082691	-75.318052
Michael T's Restaurant	Restaurants and Other Eating Places	43.08274	-75.328514
Clinton Early Learning Center	Child Day Care Services	43.047192	-75.38363
Doty's Golf Course	Other Amusement and Recreation Industries	43.003904	-75.052896
Coolnails Salon	Personal Care Services	43.082652	-75.318022
Tuesday Morning	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.077127	-75.296431
Oneida Seventh Day Adventist Church	Religious Organizations	43.090195	-75.658161
Beacon Golf Center	Other Amusement and Recreation Industries	43.133117	-75.259834
Nice N Easy	Grocery Stores	43.096464	-75.623359
II Caffe Espresso Bar And Pastry Shop	Restaurants and Other Eating Places	43.043562	-74.859555
Unwind with Audrey	Other Amusement and Recreation Industries	43.0553	-75.271607
