location_name	top_category	latitude	longitude
Viva Ranch Fruit Market	Grocery Stores	40.909597	-73.780956
76	Gasoline Stations	40.907881	-73.811653
Danny's Pelham Manor	Sporting Goods, Hobby, and Musical Instrument Stores	40.895371	-73.817653
Town of Mamaroneck	Museums, Historical Sites, and Similar Institutions	40.936604	-73.759725
Jo-Ann Fabric and Craft Stores	Sporting Goods, Hobby, and Musical Instrument Stores	40.991466	-73.823074
Korean BBQ Grill	Restaurants and Other Eating Places	40.908895	-73.781193
Dunkin'	Restaurants and Other Eating Places	40.902327	-73.791284
Marshalls	Clothing Stores	40.922695	-73.772685
Sugar Mama By Kim's Bakeshop	Bakeries and Tortilla Manufacturing	40.931059	-73.76124
Jiraporn's Salon	Personal Care Services	40.930589	-73.762183
Bella Glo Beauty Spa	Personal Care Services	40.921294	-73.788076
Villa Maria Pizza	Restaurants and Other Eating Places	40.929512	-73.751321
Alice's Silver Canvas	Sporting Goods, Hobby, and Musical Instrument Stores	40.929582	-73.751495
Nonna's Pizza Bar Restaurent	Restaurants and Other Eating Places	40.907736	-73.77924
Temple Israel Of New Rochelle	Religious Organizations	40.964845	-73.782493
El Gran Rodeo	Restaurants and Other Eating Places	40.915297	-73.785158
Beanberry's Cafe & Yogurt Bar	Restaurants and Other Eating Places	40.910316	-73.783565
Ripped Ride	Other Amusement and Recreation Industries	40.973213	-73.804931
Renaissance Bagel Cafe	Grocery Stores	40.915641	-73.807735
The Beechmont Tavern	Restaurants and Other Eating Places	40.926908	-73.789392
Children's Creative Corner	Sporting Goods, Hobby, and Musical Instrument Stores	40.929458	-73.752383
Aiello Park	Museums, Historical Sites, and Similar Institutions	40.90279	-73.773882
SHRED Fitness	Other Amusement and Recreation Industries	40.980815	-73.776494
Madelyn Jordon Fine Art	Other Miscellaneous Store Retailers	40.988836	-73.807505
Starbucks	Restaurants and Other Eating Places	40.969551	-73.806426
Autobahn Motors	Automotive Repair and Maintenance	40.888443	-73.78937
Main Street Pharmacy	Health and Personal Care Stores	40.902754	-73.790384
Pelham Picture House	Motion Picture and Video Industries	40.907454	-73.811699
Safavieh Home Furnishings	Furniture Stores	40.898763	-73.794864
The Home Depot	Building Material and Supplies Dealers	40.898819	-73.792849
La Herradura Inc II	Restaurants and Other Eating Places	40.946894	-73.795455
De Lima Park	Museums, Historical Sites, and Similar Institutions	40.988728	-73.804921
New Rochelle Toyota	Automobile Dealers	40.914728	-73.778576
Cap's Corner Deli	Grocery Stores	40.977791	-73.806753
DeCicco and Sons	Restaurants and Other Eating Places	40.91208	-73.809601
East Coast Auto Body Inc	Automotive Repair and Maintenance	40.931	-73.766977
A Game Sports	Other Amusement and Recreation Industries	40.900384	-73.793906
La Riserva	Restaurants and Other Eating Places	40.923226	-73.761405
Golding Academy of Movement and Dance	Other Amusement and Recreation Industries	40.985774	-73.809975
Loupino's Delicatessen	Restaurants and Other Eating Places	40.905643	-73.774419
Eye Q Optometrist	Health and Personal Care Stores	40.984863	-73.777827
Athleta	Clothing Stores	40.97094	-73.80457
St Gabriel's Church	Religious Organizations	40.911585	-73.786448
CVS	Health and Personal Care Stores	40.921456	-73.787646
Fordham Wigs Of Westchester	Personal Care Services	40.911792	-73.782359
Hong Kong Restaurant	Restaurants and Other Eating Places	40.895828	-73.778763
Caridad & Louie's Restaurant	Restaurants and Other Eating Places	40.911002	-73.781499
Lopez's Auto Repair	Automotive Repair and Maintenance	40.914691	-73.794046
Yoga Center International Inc	Religious Organizations	40.978883	-73.822365
Dream Dry Scarsdale	Personal Care Services	40.98898	-73.806538
Villaggio Ristorante & Pizzeria	Restaurants and Other Eating Places	40.906143	-73.811882
Atit Thai Restaurant	Restaurants and Other Eating Places	40.907375	-73.779157
Modell's Sporting Goods	Sporting Goods, Hobby, and Musical Instrument Stores	40.911186	-73.780282
Simplee Beautiful	Personal Care Services	40.948568	-73.792373
Palomino Restaurant	Restaurants and Other Eating Places	40.933106	-73.759085
Scarsdale Center	Lessors of Real Estate	40.970032	-73.806405
Lisa Petite Nails	Personal Care Services	40.895809	-73.779916
Red Lobster	Restaurants and Other Eating Places	40.990286	-73.823028
Venecias Pizzeria	Restaurants and Other Eating Places	40.909317	-73.781304
Drake Road Park	Museums, Historical Sites, and Similar Institutions	40.986879	-73.793972
Cameron Sharkey Park	Museums, Historical Sites, and Similar Institutions	40.891694	-73.781329
33 Lincoln Avenue	Lessors of Real Estate	40.916331	-73.810769
Gulf Oil	Gasoline Stations	40.984048	-73.775027
Salon Firefly	Personal Care Services	40.927277	-73.752314
Iris Nail & Spa	Personal Care Services	40.989577	-73.807764
Buffalo Wild Wings	Restaurants and Other Eating Places	40.911278	-73.780151
Henry's Barber Shop	Personal Care Services	40.987994	-73.808274
Seasons Too Ltd	Furniture Stores	40.935475	-73.747346
Pelham Cafe	Restaurants and Other Eating Places	40.913173	-73.808413
The Rock Club	Motion Picture and Video Industries	40.917693	-73.77658
Porsche Larchmont	Automobile Dealers	40.921272	-73.764703
Pinebrook Park	Museums, Historical Sites, and Similar Institutions	40.938795	-73.778875
Larchmont Floral Designs	Florists	40.932502	-73.758501
Scarsdale Shopping Center Assocs	Lessors of Real Estate	40.984473	-73.777732
Hitchcock Church Weekday School	Child Day Care Services	41.010911	-73.793109
Radiate Yoga	Other Amusement and Recreation Industries	40.911817	-73.812664
New Roc Pizza	Restaurants and Other Eating Places	40.907467	-73.782207
Russell Cellular	Electronics and Appliance Stores	40.915426	-73.771666
Alborada Florist	Florists	40.914264	-73.774044
Wolf's Lane Delicatessen	Grocery Stores	40.905847	-73.812127
C Town Supermarkets	Grocery Stores	40.907973	-73.782669
Charlie's Auto Body	Automotive Repair and Maintenance	40.978579	-73.805373
Lala's Beauty Salon	Personal Care Services	40.906561	-73.784805
Juliannes Park	Museums, Historical Sites, and Similar Institutions	40.91898	-73.807327
Sabrosa Deli Juice Bar	Restaurants and Other Eating Places	40.910514	-73.781697
Accent Nail	Personal Care Services	40.989026	-73.80751
Tai Chi School of Eternal Energy	Other Amusement and Recreation Industries	40.979136	-73.807751
Radisson	Traveler Accommodation	40.913967	-73.77788
Marina Di Calabria	Restaurants and Other Eating Places	40.89374	-73.782054
Larchmont Barber Shop	Personal Care Services	40.931936	-73.759328
Alef Bet Preschool	Child Day Care Services	40.943968	-73.795506
Yogo Joy	Sporting Goods, Hobby, and Musical Instrument Stores	40.989383	-73.807235
USA Car Wash	Automotive Repair and Maintenance	40.891628	-73.817626
Salon Pure	Personal Care Services	40.930588	-73.76219
Gileade Biblical Community	Religious Organizations	40.921992	-73.79968
CVS	Health and Personal Care Stores	40.913433	-73.775442
Bellizzi	Restaurants and Other Eating Places	40.937382	-73.746815
D & A Smokehouse	Restaurants and Other Eating Places	40.99719	-73.817584
A V Desio's Future Automotive	Automotive Repair and Maintenance	40.893994	-73.82145
Gisele's Salon	Personal Care Services	40.928383	-73.752062
Viking Sewing Gallery	Sporting Goods, Hobby, and Musical Instrument Stores	40.991783	-73.823033
Tree Of Chocolate	Specialty Food Stores	40.932503	-73.759472
Pinebrook Park Ward Drive	Museums, Historical Sites, and Similar Institutions	40.963975	-73.780069
Double Rainbow	Restaurants and Other Eating Places	40.906724	-73.811552
Playful Wonders Inc	Child Day Care Services	40.898693	-73.809292
Jewel of Himalaya	Restaurants and Other Eating Places	40.997075	-73.817637
Napizza	Restaurants and Other Eating Places	40.908747	-73.782473
SWIRLNJOY Scarsdale	Restaurants and Other Eating Places	40.987277	-73.809811
Pine Brook Park	Museums, Historical Sites, and Similar Institutions	40.935811	-73.755066
Banana Republic	Clothing Stores	40.970524	-73.804994
Mister Chen Express	Restaurants and Other Eating Places	40.98589	-73.810158
Stan'z Cafe	Restaurants and Other Eating Places	40.929804	-73.75202
Durian	Restaurants and Other Eating Places	40.933316	-73.759389
Harwood Park	Museums, Historical Sites, and Similar Institutions	40.997859	-73.790182
Barre10	Other Amusement and Recreation Industries	40.946953	-73.796877
Mattress Firm	Furniture Stores	40.900158	-73.794057
Wise Hardware	Building Material and Supplies Dealers	40.912881	-73.809194
New York Liquor	Beer, Wine, and Liquor Stores	40.928993	-73.764709
New Golden Wok	Restaurants and Other Eating Places	40.910602	-73.781815
Rosehip & Linnea	Florists	40.987628	-73.809868
Larchmont Deli	Restaurants and Other Eating Places	40.921324	-73.763349
Scarsdale Spencer Pharmacy	Health and Personal Care Stores	40.990027	-73.807255
Bradley's Desserts & Cafe	Restaurants and Other Eating Places	40.929505	-73.751308
MC Travel Management	Travel Arrangement and Reservation Services	40.92837	-73.794334
Dominique's Daycare	Consumer Goods Rental	40.900508	-73.769785
Current Home	Furniture Stores	40.984902	-73.777837
Coco Nail Spa	Personal Care Services	40.970487	-73.807028
L & R Auto Services LLC	Automotive Repair and Maintenance	40.979846	-73.776362
Focolare Movement Mens Branch	Religious Organizations	40.923344	-73.791011
Avis Rent A Car	Automotive Equipment Rental and Leasing	40.986871	-73.808576
Christ United Methodist Church	Religious Organizations	40.942229	-73.794943
Juliano's Caterers	Restaurants and Other Eating Places	40.904133	-73.787947
Congregation Anshe Sholom	Religious Organizations	40.905272	-73.776989
New Roc City	Lessors of Real Estate	40.911028	-73.780216
Patrias Restaurant	Restaurants and Other Eating Places	40.909162	-73.781632
Taqueria San Antonio	Restaurants and Other Eating Places	40.909002	-73.795798
RitaMarie Salon	Personal Care Services	40.905764	-73.812266
R Cafe & Tea Boutique	Restaurants and Other Eating Places	40.908994	-73.784215
Island Quest Gifts	Office Supplies, Stationery, and Gift Stores	40.912532	-73.808839
Polo's Auto Body	Automotive Repair and Maintenance	40.928576	-73.768891
Loki Powersports	Sporting Goods, Hobby, and Musical Instrument Stores	40.931672	-73.749898
Merle Norman Cosmetics	Health and Personal Care Stores	40.988817	-73.807401
Maggie Nails	Personal Care Services	40.921883	-73.788325
St Catherine AME Zion Church	Religious Organizations	40.917826	-73.786789
Westchester Bagel Cafe	Restaurants and Other Eating Places	40.971034	-73.80667
The Nook Eatery	Restaurants and Other Eating Places	40.91504	-73.772298
Hair Dreams Studio	Personal Care Services	40.948589	-73.792376
Pelham Lube	Automotive Repair and Maintenance	40.891609	-73.817639
Body & Brain Yoga Tai Chi	Other Amusement and Recreation Industries	41.002002	-73.813752
Phenix Salon Suites	Personal Care Services	40.948762	-73.792064
Salon Seventy Six	Personal Care Services	40.906175	-73.777867
Texas Chicken & Burgers	Restaurants and Other Eating Places	40.90957	-73.780726
Love Music	Electronics and Appliance Stores	40.914048	-73.784529
Vogue Nails	Personal Care Services	40.945725	-73.796063
Rosarito's Deli & Grill	Restaurants and Other Eating Places	40.92388	-73.758794
Harmon Discount New Rochelle	Health and Personal Care Stores	40.948424	-73.792596
Walk2fit Usa	Other Amusement and Recreation Industries	40.985952	-73.81001
Simply Coco's	Personal Care Services	40.94868	-73.792264
Nail Pro	Personal Care Services	40.972475	-73.804699
Ministerios Vida de Dios Ministerios Ebenezer	Religious Organizations	40.90881	-73.781398
Mavis Discount Tire	Automotive Repair and Maintenance	40.994075	-73.820324
Modell's Sporting Goods	Sporting Goods, Hobby, and Musical Instrument Stores	40.892462	-73.820325
Sunoco	Gasoline Stations	40.929026	-73.763996
Cannone's Pizza	Restaurants and Other Eating Places	40.924143	-73.78808
Lincoln Park	Museums, Historical Sites, and Similar Institutions	40.916616	-73.789769
Remi's Place	Grocery Stores	40.898769	-73.799086
Pentecostal Faith Church	Religious Organizations	40.91788	-73.793804
Ward Acres	Museums, Historical Sites, and Similar Institutions	40.952888	-73.783903
Soula's Kitchen	Restaurants and Other Eating Places	40.915282	-73.807589
Kearns Larchmont Deli	Restaurants and Other Eating Places	40.933187	-73.758986
Panera Bread	Restaurants and Other Eating Places	40.99305	-73.822269
Emanuel A M E Church	Religious Organizations	40.930089	-73.767382
Hour To Exit Escape Games	Other Amusement and Recreation Industries	40.909479	-73.779993
CITGO	Gasoline Stations	40.91225	-73.775155
Eldorado Diner	Restaurants and Other Eating Places	40.99612	-73.817768
MG Martins Auto	Automotive Repair and Maintenance	40.923989	-73.781976
Cantina Lobos	Restaurants and Other Eating Places	40.906552	-73.811653
Pink On Palmer	Health and Personal Care Stores	40.9332	-73.759017
Atpgroup	Beer, Wine, and Liquor Stores	40.932603	-73.762252
St John's Church	Religious Organizations	40.919932	-73.750403
Harbour House Coffee Shop	Restaurants and Other Eating Places	40.932396	-73.759599
Sea Flame Restaurant	Restaurants and Other Eating Places	40.971053	-73.806647
Green Harvest	Grocery Stores	40.987156	-73.809809
The Chipper Truck Cafe	Restaurants and Other Eating Places	40.915115	-73.807573
Alarming Sounds	Electronics and Appliance Stores	40.917516	-73.806836
Pelville Coffee & Pastry	Restaurants and Other Eating Places	40.915286	-73.807522
Yumi	Restaurants and Other Eating Places	40.893771	-73.820547
Delicias El Dorado	Restaurants and Other Eating Places	40.909156	-73.781681
Holy Name Church	Religious Organizations	40.918426	-73.771905
Lash Out Loud	Personal Care Services	40.91505	-73.785075
Land Rover Larchmont New Rochelle	Automobile Dealers	40.920593	-73.765167
All Home Appliances Kitchen & Bath	Home Furnishings Stores	40.914268	-73.782606
Acme Markets	Grocery Stores	40.947168	-73.793993
Pedro Sanchez Cycling	Sporting Goods, Hobby, and Musical Instrument Stores	40.901593	-73.788163
Larchmont Gourmet	Restaurants and Other Eating Places	40.93333	-73.759358
Alfa Romeo of Larchmont	Automobile Dealers	40.930353	-73.750672
Anna Maria's Restaurant	Restaurants and Other Eating Places	40.929686	-73.751745
La Fontanella	Restaurants and Other Eating Places	40.909299	-73.811156
New Rochelle's Down to Earth Farmers Market	Specialty Food Stores	40.91803	-73.785882
Dynasty Leasing	Automobile Dealers	40.931218	-73.761112
GENESIS OF NEW ROCHELLE	Automobile Dealers	40.917589	-73.768904
Bespoke Barber Shop	Personal Care Services	40.916423	-73.784716
Chop Stix	Restaurants and Other Eating Places	40.987643	-73.809808
Little Thai Kitchen	Restaurants and Other Eating Places	40.988997	-73.809025
Artistic Manner Flower Shop	Florists	40.906648	-73.811543
Ruffled Feathers	Grocery Stores	40.986988	-73.810366
One River School of Art & Design	Other Miscellaneous Store Retailers	40.92887	-73.750815
G Bakery	Bakeries and Tortilla Manufacturing	40.907503	-73.779184
Lemke Park	Museums, Historical Sites, and Similar Institutions	40.924486	-73.773003
Eddie Foy Park	Museums, Historical Sites, and Similar Institutions	40.892842	-73.785745
Pure Hockey	Sporting Goods, Hobby, and Musical Instrument Stores	40.912843	-73.774968
A No 1 Pizza	Restaurants and Other Eating Places	40.923197	-73.787954
Best Plumbing Tile & Stone	Home Furnishings Stores	40.989113	-73.824602
GMazza Salon	Personal Care Services	41.000377	-73.814674
Style Society Barbershop & Salon	Personal Care Services	40.927353	-73.789573
Papa John's	Restaurants and Other Eating Places	40.906746	-73.785221
B N Auto	Automobile Dealers	40.908636	-73.793942
American Laser Center	Other Amusement and Recreation Industries	40.988989	-73.808968
European Wax Center (EWC)	Personal Care Services	40.922336	-73.773273
John's Ravioli	Grocery Stores	40.90233	-73.789629
Go Greenly Scarsdale	Restaurants and Other Eating Places	40.987278	-73.809806
First Holiness Church	Religious Organizations	40.918195	-73.786495
Mike's Deli & Cafe	Restaurants and Other Eating Places	40.898439	-73.790603
Renu Beauty	Personal Care Services	40.908378	-73.783223
Heathcote Barber Shop	Personal Care Services	40.984407	-73.774755
YR Blossom Nails	Personal Care Services	40.990902	-73.823034
Chat 19 American Grill	Restaurants and Other Eating Places	40.930159	-73.751398
Dressbarn	Clothing Stores	40.992955	-73.822165
Curry Acura	Automobile Dealers	40.999925	-73.816359
US Petroleum	Gasoline Stations	40.92766	-73.752148
Cp Painting &amp Drywall	Automotive Repair and Maintenance	40.920947	-73.787127
La Renaissance Bakery	Bakeries and Tortilla Manufacturing	40.988979	-73.807545
AT Equipment Sales	Office Supplies, Stationery, and Gift Stores	40.976249	-73.804164
Presbyterian Church Of New Rochelle	Religious Organizations	40.90474	-73.785251
Dunwoodie Park	Museums, Historical Sites, and Similar Institutions	40.979335	-73.804608
Wynmor Park	Museums, Historical Sites, and Similar Institutions	40.98686	-73.773527
