location_name	top_category	latitude	longitude
Smokers Choice	Other Miscellaneous Store Retailers	43.114225	-75.20857
East Side Glass & Mirror	Automotive Repair and Maintenance	43.10233	-75.223225
Mozdzen Auto	Automobile Dealers	43.095711	-75.210896
St Peters School	Religious Organizations	43.116679	-75.209117
Buddha Dama Thuka Temple	Religious Organizations	43.08871	-75.248888
Cars Collision	Automotive Repair and Maintenance	43.102216	-75.222728
Utica Brews Internet Cafe	Restaurants and Other Eating Places	43.10206	-75.245323
Skermonts Auto	Automotive Repair and Maintenance	43.094186	-75.205057
Marr Logg House	Restaurants and Other Eating Places	43.082541	-75.204619
Autoland Rental Cars	Used Merchandise Stores	43.094109	-75.228006
Beijing House	Restaurants and Other Eating Places	43.093335	-75.248672
El Canelo	Restaurants and Other Eating Places	43.086545	-75.259858
Triangle Coffee Shop	Restaurants and Other Eating Places	43.100407	-75.233662
Christian Assembly Of Schuyler	Religious Organizations	43.138386	-75.194831
Slice Pizzeria	Restaurants and Other Eating Places	43.086372	-75.261328
Jo Mar Beauty Salon	Personal Care Services	43.087143	-75.219192
Lowe's	Building Material and Supplies Dealers	43.126098	-75.224338
Saranac Brewery Matt Brewing Co	Beverage Manufacturing	43.104526	-75.245806
Oneida Center For Rehabilitation And Nursing	Nursing Care Facilities (Skilled Nursing Facilities)	43.093128	-75.241417
Sherwin-Williams	Building Material and Supplies Dealers	43.088	-75.260484
Utica Hydra Matic Service	Automotive Repair and Maintenance	43.098838	-75.224804
First Nursery School Of Utica	Child Day Care Services	43.091393	-75.250384
Sunny Side Up Cafe	Restaurants and Other Eating Places	43.094052	-75.203118
The Grand Rehabilitation And Nursing At Utica	Nursing Care Facilities (Skilled Nursing Facilities)	43.090256	-75.257138
Sunoco	Gasoline Stations	43.093074	-75.247703
JP3 Performance Studio	Other Amusement and Recreation Industries	43.101555	-75.230074
Enterprise Rent-A-Car	Automotive Equipment Rental and Leasing	43.104588	-75.236159
The Patio Drive In	Restaurants and Other Eating Places	43.109115	-75.251014
Pizza Classic	Restaurants and Other Eating Places	43.10203	-75.230732
Uptown Theatre for Creative Arts	Motion Picture and Video Industries	43.086565	-75.262136
Sunoco	Gasoline Stations	43.088458	-75.223123
Bass Pro Shops	Sporting Goods, Hobby, and Musical Instrument Stores	43.125236	-75.225889
St Vladimir Ukrainian Catholic Church	Religious Organizations	43.098125	-75.238672
Supercuts	Personal Care Services	43.08528	-75.281943
US Care Systems	Home Health Care Services	43.078944	-75.277405
Subway	Restaurants and Other Eating Places	43.080907	-75.20672
Baggs Square Brewing Co	Beverage Manufacturing	43.103313	-75.223324
Walgreens	Health and Personal Care Stores	43.089567	-75.222004
Strosberg Wm	Furniture Stores	43.097979	-75.216146
St John's Catholic Church Rectory Historic	Religious Organizations	43.100369	-75.22788
Curves	Other Amusement and Recreation Industries	43.126422	-75.236597
Asbury United Methodist Church	Religious Organizations	43.091457	-75.212223
BGM Supply	Building Material and Supplies Dealers	43.089553	-75.225735
Orderit Alcohol Delivery	Specialty Food Stores	43.104566	-75.241929
Focal Point Optical	Health and Personal Care Stores	43.077571	-75.281103
Auto Dimensions Plus	Automotive Repair and Maintenance	43.092269	-75.196703
United Church Nursery School	Religious Organizations	43.096684	-75.242421
New York State	General Medical and Surgical Hospitals	43.100228	-75.260642
Parkway East	Museums, Historical Sites, and Similar Institutions	43.076	-75.210263
BJ's Wholesale Club	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.126611	-75.22254
Club Comacho's Sports	Amusement Parks and Arcades	43.103099	-75.241471
Number 1 Chinese Restaurant	Restaurants and Other Eating Places	43.091211	-75.222768
Vision To Plant Foundation	Religious Organizations	43.088991	-75.252283
Utica Cutlery Company	Home Furnishings Stores	43.097819	-75.249275
Lansing Body Works	Automotive Repair and Maintenance	43.090996	-75.205377
Burlington	Clothing Stores	43.12701	-75.223765
George's Precision Auto Body	Automotive Repair and Maintenance	43.111932	-75.267605
Panda House	Restaurants and Other Eating Places	43.100169	-75.234399
Arby's	Restaurants and Other Eating Places	43.087408	-75.258617
Kookie's Q &amp Creamery	Restaurants and Other Eating Places	43.107043	-75.222837
Speedway	Gasoline Stations	43.108879	-75.219068
Broad Street Cash & Carry	Grocery Stores	43.100376	-75.21411
Metro by T Mobile Authorized Dealer	Electronics and Appliance Stores	43.091348	-75.222693
Boneyard BBQ's	Restaurants and Other Eating Places	43.083365	-75.277484
Fancy Nails	Personal Care Services	43.11426	-75.208754
St Elizabeth Medical Center	General Medical and Surgical Hospitals	43.081927	-75.266761
Tucci Maria Beautcn	Personal Care Services	43.079158	-75.277037
Hannaford Plaza	Lessors of Real Estate	43.091417	-75.223706
Affordable Furniture	Furniture Stores	43.099246	-75.247192
The Cutting Edge Salon	Personal Care Services	43.099734	-75.152476
Rite Aid	Health and Personal Care Stores	43.087517	-75.26079
Heritage Health Care Center	Nursing Care Facilities (Skilled Nursing Facilities)	43.090487	-75.256683
Burmese Muslim Association Of Utica Inc	Religious Organizations	43.092421	-75.228197
Scoops and Sandwiches	Restaurants and Other Eating Places	43.096252	-75.241378
New School For Social Research	Consumer Goods Rental	43.10016	-75.260036
Southside Auto Repair	Automotive Repair and Maintenance	43.109351	-75.261462
St John's Episcopal Church	Religious Organizations	43.101025	-75.227423
Cashion's Collision	Automotive Repair and Maintenance	43.093634	-75.259193
Utica Lincoln Garage	Automotive Repair and Maintenance	43.093625	-75.259192
Upstate Cerebral Palsy	Child Day Care Services	43.077111	-75.264698
Speedway	Gasoline Stations	43.077102	-75.279825
Noyes Street Alignment and Brake	Gasoline Stations	43.096828	-75.249096
Lenox Cafe	Restaurants and Other Eating Places	43.098886	-75.253476
Swifty's Restaurant & Pub	Restaurants and Other Eating Places	43.099168	-75.235106
Citi Trends	Department Stores	43.089608	-75.221183
Hannaford Food And Drug	Health and Personal Care Stores	43.090311	-75.224639
Parkway Drugs	Health and Personal Care Stores	43.081236	-75.205712
Union Station	Museums, Historical Sites, and Similar Institutions	43.104185	-75.223212
Turning Point Church	Religious Organizations	43.103348	-75.23675
Stage Music	Sporting Goods, Hobby, and Musical Instrument Stores	43.107716	-75.244277
Colette M Griffith LMT	Personal Care Services	43.085012	-75.265399
Karen's Groom Room	Other Miscellaneous Store Retailers	43.126089	-75.236002
Phu Quoc	Restaurants and Other Eating Places	43.098859	-75.21898
Mohawk Valley Central Patient Scheduling	General Medical and Surgical Hospitals	43.090874	-75.257925
Flooring America	Home Furnishings Stores	43.112034	-75.259975
Carbone Collision Center	Automobile Dealers	43.139253	-75.214819
Hampton	Traveler Accommodation	43.108878	-75.216594
Collinite Cheml Co	Other Miscellaneous Store Retailers	43.095923	-75.253166
Herrera Sabor Latino	Restaurants and Other Eating Places	43.100738	-75.22508
Rutger Restaurant	Restaurants and Other Eating Places	43.089083	-75.204602
Mobile Mini	Lessors of Real Estate	43.1131	-75.266013
Ferris R & Sons	Grocery Stores	43.106493	-75.216459
Simmer	Restaurants and Other Eating Places	43.093007	-75.224192
O'Scugnizzo Pizzeria	Restaurants and Other Eating Places	43.098783	-75.220392
Faxton St Luke's Healthcare	General Medical and Surgical Hospitals	43.097058	-75.277922
Insight House Chemical Dependency Services	Nursing Care Facilities (Skilled Nursing Facilities)	43.106065	-75.23599
Black Rice Sushi & Thai	Restaurants and Other Eating Places	43.098667	-75.21826
Bare Naked Furniture	Office Supplies, Stationery, and Gift Stores	43.100746	-75.155433
A Taste Of Laos	Restaurants and Other Eating Places	43.099779	-75.233179
Larry's Auto Repair	Automotive Repair and Maintenance	43.162412	-75.210868
Domino's Pizza	Restaurants and Other Eating Places	43.085106	-75.286837
Colortyme	Consumer Goods Rental	43.099289	-75.247227
Tractor Supply Co.	Building Material and Supplies Dealers	43.128133	-75.222992
Bagel Grove	Restaurants and Other Eating Places	43.089873	-75.257936
Moe'S Plaza	Lessors of Real Estate	43.107212	-75.220658
Puff N Stuff	Other Miscellaneous Store Retailers	43.096149	-75.241485
Lukins Brick Oven Pizza	Restaurants and Other Eating Places	43.104013	-75.242766
St Peter & Paul Ukrainian Orthodox Church	Religious Organizations	43.104363	-75.243617
Pho Mekong House of Noodles	Restaurants and Other Eating Places	43.099718	-75.227167
Hope Chapel A M E Zion Church	Religious Organizations	43.091452	-75.217644
Europa Restaurant	Restaurants and Other Eating Places	43.095367	-75.215544
Pixley Park	Museums, Historical Sites, and Similar Institutions	43.10183	-75.26358
Trulli Di Turi	Restaurants and Other Eating Places	43.115713	-75.209808
Smith Market	Restaurants and Other Eating Places	43.10315	-75.222524
Joseph Putrello Barista Coffee Bar	Restaurants and Other Eating Places	43.099304	-75.236196
A Dogs Day Out	Other Personal Services	43.126311	-75.23661
Price Chopper New England	Grocery Stores	43.113958	-75.207812
Utica Pharmacy	Health and Personal Care Stores	43.08777	-75.259876
St Francis Desales Catholic Church	Religious Organizations	43.095798	-75.238041
AMF	Other Amusement and Recreation Industries	43.088761	-75.257826
North Utica Senior Citizens Recreation Center Inc	Child Day Care Services	43.118242	-75.213692
Automatio Experts	Automotive Repair and Maintenance	43.09247	-75.183497
Tramontane Cafe	Restaurants and Other Eating Places	43.100105	-75.242145
Munson Williams Proctor Arts Institute	Other Miscellaneous Store Retailers	43.097588	-75.240202
Cabela's	Sporting Goods, Hobby, and Musical Instrument Stores	43.128538	-75.227302
S & R Custom Motorcycle Parts	Other Motor Vehicle Dealers	43.097032	-75.246719
Adirondack Distilling Company	Beer, Wine, and Liquor Stores	43.104114	-75.24145
Napoli's Italian Bakery	Restaurants and Other Eating Places	43.092155	-75.196847
Utica City Parking Garage	Other Personal Services	43.112345	-75.214751
Mohawk Deli & Grill	Restaurants and Other Eating Places	43.089089	-75.223295
Jweid Albert	Grocery Stores	43.098606	-75.227762
Serendipity Hair Salon & Boutique	Personal Care Services	43.090743	-75.215696
The Rut	Personal Care Services	43.104339	-75.269875
Carbone Pontiac At Hornell	Automobile Dealers	43.136912	-75.217606
Inkorporated Tattoo Studio	Personal Care Services	43.102165	-75.22549
CITGO	Gasoline Stations	43.116307	-75.211522
Pathway of PEARLS	Other Miscellaneous Store Retailers	43.099778	-75.152411
Alpine Restaurant	Restaurants and Other Eating Places	43.096843	-75.216389
Craylee's	Restaurants and Other Eating Places	43.10141	-75.227447
The Hub Eatery	Restaurants and Other Eating Places	43.101361	-75.228397
Big O Bakery	Bakeries and Tortilla Manufacturing	43.097578	-75.214903
KFC	Restaurants and Other Eating Places	43.10841	-75.21943
Mojoz	Bakeries and Tortilla Manufacturing	43.080467	-75.207113
Kernan Park	Museums, Historical Sites, and Similar Institutions	43.088989	-75.20764
Bazar Grill & Lounge	Restaurants and Other Eating Places	43.095439	-75.222754
Medino's Restaurant	Restaurants and Other Eating Places	43.095332	-75.215471
All Saints Episcopal Church	Religious Organizations	43.089295	-75.248459
K & K Train & Hobby	Sporting Goods, Hobby, and Musical Instrument Stores	43.08602	-75.279684
Payne's Temple Church of God In Christ	Religious Organizations	43.097797	-75.228352
BMP Autoworx	Automotive Repair and Maintenance	43.107567	-75.24376
PriceRite	Grocery Stores	43.099612	-75.220525
Deliverance First Ministries Church Of The Living God	Religious Organizations	43.101602	-75.245305
In Tune Automotive	Automotive Repair and Maintenance	43.103171	-75.246493
Sherry Spa	Other Personal Services	43.117644	-75.210085
Shop and Go	Grocery Stores	43.097234	-75.215079
Golden's	Restaurants and Other Eating Places	43.100414	-75.233668
Fort Schuyler Trading Co	Used Merchandise Stores	43.114241	-75.208946
Monopoli Michael	Automotive Repair and Maintenance	43.095074	-75.242473
Cycle Motive	Other Motor Vehicle Dealers	43.092318	-75.182335
St Mary of Mount Carmel Church	Religious Organizations	43.099839	-75.218031
Trinity Lutheran Church	Religious Organizations	43.078843	-75.278252
Minit Car Wash	Automotive Repair and Maintenance	43.087216	-75.254719
Chophouse by Chesterfield	Restaurants and Other Eating Places	43.1026	-75.230708
Duda Woodworking & Chair Hospital	Used Merchandise Stores	43.105572	-75.241062
Peter Spencer Uame Church	Religious Organizations	43.09642	-75.22085
Colino Daniel F	Health and Personal Care Stores	43.115774	-75.208521
Bella Regina	Restaurants and Other Eating Places	43.100096	-75.233395
Sports Unlimited	Other Motor Vehicle Dealers	43.13508	-75.218923
Southside Automotive	Automobile Dealers	43.109341	-75.261443
Maugeri's Auto Body	Automotive Repair and Maintenance	43.104954	-75.237735
Papito Barbershop	Personal Care Services	43.098259	-75.218352
Stanley Restaurant	Restaurants and Other Eating Places	43.102332	-75.242032
Fastrac	Gasoline Stations	43.08823	-75.259405
Krispy Krunchy Chicken	Restaurants and Other Eating Places	43.095182	-75.242484
Clean Car Auto Sales & Detailing	Automotive Repair and Maintenance	43.099041	-75.210754
Rite Aid Plaza	Lessors of Real Estate	43.089543	-75.222216
Roscoe Conkling Park	Museums, Historical Sites, and Similar Institutions	43.082736	-75.250638
Harbor Point Minerals	Office Supplies, Stationery, and Gift Stores	43.106791	-75.215513
Troya Motor Cars	Automobile Dealers	43.18189	-75.183493
Don's Ford	Automobile Dealers	43.137838	-75.216058
American Fireworks Display	Miscellaneous Durable Goods Merchant Wholesalers	43.096819	-75.217415
Mohawk Valley Network	General Medical and Surgical Hospitals	43.089398	-75.214578
Memorial Parkway	Museums, Historical Sites, and Similar Institutions	43.084881	-75.245922
American Bh Islamic Center Of Utica Inc	Religious Organizations	43.096657	-75.210636
Tabernacle Of Praise Ministries Church Of The Living God Inc	Religious Organizations	43.109123	-75.261636
Quick Change Inc	Automotive Repair and Maintenance	43.093814	-75.225485
Roll Corporation Supermarket	Grocery Stores	43.088968	-75.234845
Utica Coffee Roasting	Restaurants and Other Eating Places	43.103445	-75.227632
Seventh Day Adventist Church	Religious Organizations	43.110419	-75.184327
Peters Glass	Automotive Repair and Maintenance	43.096768	-75.221924
CNYHHN Inc	Home Health Care Services	43.0925	-75.207902
St Joseph & St Patrick Church	Religious Organizations	43.104994	-75.241587
First Presbyterian Church	Religious Organizations	43.091377	-75.250231
Lavoda Home Furniture	Furniture Stores	43.098753	-75.208675
Mohawk Valley Imaging PC	General Medical and Surgical Hospitals	43.081992	-75.265836
Ramon's Bakery	Restaurants and Other Eating Places	43.080415	-75.207279
Subway	Restaurants and Other Eating Places	43.092047	-75.222262
Nepali Calvary Harvest Church International Inc	Religious Organizations	43.093756	-75.230121
Five Guys	Restaurants and Other Eating Places	43.128523	-75.224614
Sunny Restaurant Asian Cuisine	Restaurants and Other Eating Places	43.096983	-75.216914
Joey's Pizzeria	Restaurants and Other Eating Places	43.084832	-75.235915
Eagle Express Smoke Shop	Other Miscellaneous Store Retailers	43.086518	-75.218705
Trivieri's Auto Svce	Automotive Repair and Maintenance	43.091313	-75.225603
Hoopla Frozen Yogurt	Restaurants and Other Eating Places	43.107208	-75.220559
First Baptist Church of Utica	Religious Organizations	43.114248	-75.20188
Chesterfield Restaurant	Restaurants and Other Eating Places	43.093028	-75.199936
Lifecoach Communications Inc	Religious Organizations	43.078209	-75.273436
Palermo Pizzeria	Restaurants and Other Eating Places	43.095519	-75.242809
Upstate Cerebral Palsy Inc New Discoveries Learning Center	Child Day Care Services	43.079768	-75.211005
Tabernacle Baptist Church	Religious Organizations	43.09846	-75.234692
GameStop	Sporting Goods, Hobby, and Musical Instrument Stores	43.128538	-75.224555
First Baptist Church	Religious Organizations	43.114239	-75.201895
Bargain Price Auto Glass	Automotive Repair and Maintenance	43.101172	-75.232523
Mavis Discount Tire	Automotive Repair and Maintenance	43.111126	-75.256075
Davi Nails	Personal Care Services	43.12856	-75.227295
Ezra's Energy	Office Supplies, Stationery, and Gift Stores	43.10257	-75.22979
Classy Cakes	Bakeries and Tortilla Manufacturing	43.126183	-75.235942
Mi Casa Restaurant	Restaurants and Other Eating Places	43.095285	-75.243158
Dino's Sausage	Grocery Stores	43.099236	-75.216096
Court Street Children's Center	Child Day Care Services	43.100735	-75.238145
J & L Auto Svce	Automotive Repair and Maintenance	43.108802	-75.268484
Holiday Inn Express	Traveler Accommodation	43.10959	-75.221463
