location_name	top_category	latitude	longitude
Adirondack Food and Fuel	Gasoline Stations	43.038833	-75.086685
LL Flooring	Home Furnishings Stores	43.090202	-75.316717
Delta Lake State Park	Museums, Historical Sites, and Similar Institutions	43.289278	-75.418601
Walmart Supercenter	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.078199	-75.69198
Dream City Mattress	Furniture Stores	43.022895	-74.992599
Showcase Antiques	Used Merchandise Stores	43.041314	-74.858357
Herkimer County Probation Department	Department Stores	43.028806	-74.988072
Peter's Cornucopia	Health and Personal Care Stores	43.077018	-75.295643
K D K Sports	Other Motor Vehicle Dealers	43.231261	-75.497157
The Medicine Shoppe	Health and Personal Care Stores	43.015214	-75.035221
New Life Assembly Of God	Religious Organizations	43.090786	-75.628411
Applebee's	Restaurants and Other Eating Places	43.022293	-74.994606
CrossFit	Other Amusement and Recreation Industries	43.131139	-75.249355
Clinton Florist	Florists	43.048013	-75.378332
Mavis Discount Tire	Automotive Repair and Maintenance	43.232344	-75.439028
SmartStyle Family Hair Salons	Personal Care Services	43.078045	-75.692136
Sorrento's Pizzeria & Restaurant	Restaurants and Other Eating Places	43.017314	-75.033646
NextGen Car Care Centers	Automotive Repair and Maintenance	43.079004	-75.372231
Saint Mary's Roman Catholic Church	Religious Organizations	43.107535	-75.285031
Stewart's Shops	Grocery Stores	43.03714	-75.069248
Original Herkimer County Cheese	Specialty Food Stores	42.998822	-75.05035
Rome Vapors	Other Miscellaneous Store Retailers	43.213799	-75.454782
Harden Furniture Oneida Div	Furniture Stores	43.092158	-75.659319
Rome Access Site	Museums, Historical Sites, and Similar Institutions	43.213885	-75.459601
Roller's Collision	Automotive Repair and Maintenance	43.081643	-75.295711
D H Burrell Overlook Mansion	Traveler Accommodation	43.048817	-74.859762
Sitrin Child Day Care Facility Inc	Child Day Care Services	43.056226	-75.229408
Grande's Pizzeria & Restaurant	Restaurants and Other Eating Places	43.220365	-75.425257
Ice Cream Station	Restaurants and Other Eating Places	43.016641	-75.037881
New Hartford Shoes & Service	Shoe Stores	43.074239	-75.287616
Crystal Springs Beverage	Beer, Wine, and Liquor Stores	43.027241	-74.914169
Subway	Restaurants and Other Eating Places	43.082361	-75.315535
Alexander Home Supply	Building Material and Supplies Dealers	43.13594	-75.278538
SavOn	Grocery Stores	43.03978	-75.622229
Beauty Nails & Spa	Personal Care Services	43.084032	-75.32755
Crimmins Automotive Sales	Automobile Dealers	43.030668	-75.062132
DJR Custom Electronics	Sporting Goods, Hobby, and Musical Instrument Stores	43.075573	-75.690892
Hearing Health USA	Other Ambulatory Health Care Services	43.231283	-75.443323
Better Hearing	Other Ambulatory Health Care Services	43.095506	-75.651852
First Assembly Of God	Religious Organizations	43.038872	-74.857778
Olivia's Happy Tails	Other Miscellaneous Store Retailers	43.026351	-74.98714
Moser Excavating & Fencing	Automotive Repair and Maintenance	43.100233	-75.293547
Flowers By Suzanne	Florists	43.034298	-74.960722
Polish Nail Spa	Personal Care Services	43.096467	-75.303008
House Of Hair	Personal Care Services	43.082285	-75.32301
Salty Shamrock LLC	Restaurants and Other Eating Places	43.02275	-74.98247
Central Market Florist	Florists	43.232463	-75.436644
Studio	Personal Care Services	43.222073	-75.445075
Copperccinos Coffee House	Restaurants and Other Eating Places	43.212653	-75.460743
SavOn	Grocery Stores	43.078538	-75.646343
Roy Boys Farm Produce	Grocery Stores	43.106195	-75.293732
FYE	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.082134	-75.316402
Rail and Canal	Restaurants and Other Eating Places	43.199489	-75.449075
Little Caesars	Restaurants and Other Eating Places	43.090978	-75.661674
Holland Kennels	Other Personal Services	43.172994	-75.320815
Panera Bread	Restaurants and Other Eating Places	43.09594	-75.305236
Fortune Cookies	Restaurants and Other Eating Places	43.082612	-75.323552
Love Bites Bakery	Bakeries and Tortilla Manufacturing	43.054692	-75.271805
Davi Nails	Personal Care Services	43.022547	-74.99378
Hampton	Traveler Accommodation	43.091385	-75.329346
Rome Pre Owned Auto Sales	Automobile Dealers	43.21856	-75.433744
Canal Side Inn Restaurant	Restaurants and Other Eating Places	43.040428	-74.858715
Circle K	Grocery Stores	43.096716	-75.623466
Chico's	Clothing Stores	43.090112	-75.31657
Lowe's	Building Material and Supplies Dealers	43.228277	-75.488332
Hello Gorgeous hair salon	Personal Care Services	43.097164	-75.300929
Bladek's Body Shop	Automotive Repair and Maintenance	42.984902	-74.859063
Dick's Wheel Shop	Automotive Repair and Maintenance	43.020905	-74.990057
Presbyterian Homes & Services Inc	Religious Organizations	43.072256	-75.34166
Circle K Gas	Gasoline Stations	43.283076	-75.471421
Boonville Big M	Grocery Stores	43.475929	-75.319647
Lincoln Park	Museums, Historical Sites, and Similar Institutions	43.085664	-75.657969
Shopper's Service	Shoe Stores	43.230915	-75.499161
McDonald's	Restaurants and Other Eating Places	43.225077	-75.485559
Our Lady of the Rosary Church	Religious Organizations	43.094797	-75.280405
Liquor Warehouse	Beer, Wine, and Liquor Stores	43.229596	-75.494908
Bostwick's Liquor Store	Beer, Wine, and Liquor Stores	43.210973	-75.458428
Amtrak	Rail Transportation	43.016598	-74.992296
Lisa's Pet Palace	Other Personal Services	43.215829	-75.459332
Herkimer Diamond Mines	Office Supplies, Stationery, and Gift Stores	43.128809	-74.976634
Tokyo Restaurant	Restaurants and Other Eating Places	43.022955	-74.99283
Tractor Supply Co.	Building Material and Supplies Dealers	43.225301	-75.488032
Trinity Episcopal Church	Religious Organizations	43.214513	-75.459041
Walgreens	Health and Personal Care Stores	43.097787	-75.303493
Allen Matthew C OD	Health and Personal Care Stores	43.078937	-75.652742
Glenwood Plaza	Lessors of Real Estate	43.076984	-75.643335
Arby's	Restaurants and Other Eating Places	43.213742	-75.451711
Famous Footwear	Shoe Stores	43.083248	-75.314143
Enterprise Rent-A-Car	Automotive Equipment Rental and Leasing	43.026023	-74.985359
Steve Kotary General Contractor	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.219986	-75.324985
Walgreens	Health and Personal Care Stores	43.022083	-74.992091
Mike Jr's Auto Repair	Automotive Repair and Maintenance	43.204289	-75.438602
Betsy Ross Nursing Facility	Nursing Care Facilities (Skilled Nursing Facilities)	43.233473	-75.466034
Carmen Caramanica Music Instruction Studios	Sporting Goods, Hobby, and Musical Instrument Stores	43.07313	-75.28915
First United Presbyterian Church	Religious Organizations	43.045105	-74.858799
Appearance's Salon	Personal Care Services	43.239828	-75.437348
Carney's Corners	Restaurants and Other Eating Places	43.028586	-74.986542
Haselton Park	Museums, Historical Sites, and Similar Institutions	43.226101	-75.43573
Grace Baptist Church	Religious Organizations	43.27476	-75.46958
99 Restaurants	Restaurants and Other Eating Places	43.090492	-75.313664
Ryder	Automotive Equipment Rental and Leasing	43.136282	-75.275766
Nye Ford	Automobile Dealers	43.075714	-75.683979
Moe's Southwest Grill	Restaurants and Other Eating Places	43.087187	-75.313051
Byrne Dairy	Specialty Food Stores	43.20604	-75.45681
Saint John Lutheran Church	Religious Organizations	43.23533	-75.448943
Kinney Drugs	Health and Personal Care Stores	43.042181	-74.858389
Sit Means Sit Dog Training	Other Personal Services	43.082222	-75.393087
Dr Matthew C Allen	Health and Personal Care Stores	43.078964	-75.652722
Honey Brook Hobbies	Office Supplies, Stationery, and Gift Stores	43.014694	-75.035467
Taylor True Value Rental	Building Material and Supplies Dealers	43.226298	-75.489478
Reich Supply Company Inc	Office Supplies, Stationery, and Gift Stores	43.074595	-75.286992
Waterfront Grille	Restaurants and Other Eating Places	43.01707	-74.996357
Chestnut Commons Diagnostic Medicine	General Medical and Surgical Hospitals	43.232078	-75.440567
Effleurage Day Spa	Personal Care Services	43.07443	-75.288696
Family Dollar Stores	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.23053	-75.437906
Suzuki	Other Motor Vehicle Dealers	42.999283	-75.04926
Circle K Gas	Gasoline Stations	43.038572	-74.866157
Smoke and Vapor	Other Miscellaneous Store Retailers	43.089806	-75.312438
Hair Creaters & Tropical Tanning	Personal Care Services	43.259827	-75.461804
Valley Health Services Inc	Nursing Care Facilities (Skilled Nursing Facilities)	43.025591	-74.999203
Vinny's Pizzeria	Restaurants and Other Eating Places	43.023391	-74.989937
Moose River Restaurant	Restaurants and Other Eating Places	43.094249	-75.284649
Central Oneida County Volunteer Ambulance Corps	Other Ambulatory Health Care Services	43.093376	-75.39131
Escape Away Massage	Personal Care Services	43.097275	-75.296872
Function Better	Other Amusement and Recreation Industries	43.047561	-74.986166
Family Home Care	Home Health Care Services	43.220064	-75.458839
Kitlas Restaurant	Restaurants and Other Eating Places	43.091903	-75.179131
Franklin Field	Museums, Historical Sites, and Similar Institutions	43.224812	-75.447593
Dick Sonne's Cycles Fitness & Skis	Sporting Goods, Hobby, and Musical Instrument Stores	43.083433	-75.323196
Green n Wave	Restaurants and Other Eating Places	43.082387	-75.314973
Price Chopper New England	Grocery Stores	43.232134	-75.436421
Hannaford Supermarkets	Grocery Stores	43.23728	-75.453418
Five Guys	Restaurants and Other Eating Places	43.096143	-75.305021
VIP Nails	Personal Care Services	43.089826	-75.312072
Village Tennis Courts	Other Amusement and Recreation Industries	43.023251	-74.996492
Piccolo Cafe	Restaurants and Other Eating Places	43.041332	-74.858236
Upstate Cerebral Palsy	Child Day Care Services	43.090556	-75.646122
Upstate Auto Sales	Automobile Dealers	43.220793	-75.480858
Mohawk Oneida Baptist Association	Religious Organizations	43.013308	-75.037418
Salon Echo	Personal Care Services	43.223859	-75.484674
Furji Fire House Sushi	Restaurants and Other Eating Places	43.076504	-75.644023
The Piano Lab	Sporting Goods, Hobby, and Musical Instrument Stores	43.048047	-75.380704
The Phoenician Restaurant	Restaurants and Other Eating Places	43.092948	-75.276656
The Tot Spot Play Center	Amusement Parks and Arcades	43.062418	-75.603251
Nails by Shelley	Personal Care Services	43.214874	-75.457332
Village Green	Museums, Historical Sites, and Similar Institutions	43.048381	-75.379377
Nye Automotive Group	Automotive Repair and Maintenance	43.0758	-75.683964
Lowe's	Building Material and Supplies Dealers	43.09074	-75.320666
Rome Nail & Spa	Personal Care Services	43.230625	-75.43778
Nice N Easy	Gasoline Stations	43.096431	-75.623367
Church On The Rock	Religious Organizations	43.096519	-75.650024
Dunkin'	Restaurants and Other Eating Places	43.093818	-75.277524
Curves	Other Amusement and Recreation Industries	43.027469	-74.988715
Tallman's Tire & Auto Repair	Automotive Repair and Maintenance	43.236409	-75.437453
Brimfield Farm Winery	Beverage Manufacturing	43.050446	-75.335794
The coffee forks	Restaurants and Other Eating Places	43.094593	-75.651927
Downown Sushi Opening Soon	Restaurants and Other Eating Places	43.096071	-75.6523
The Savoy Restaurant	Restaurants and Other Eating Places	43.208647	-75.45237
AAA Promotional Signs	Sporting Goods, Hobby, and Musical Instrument Stores	43.208724	-75.47484
Pietrka Park	Museums, Historical Sites, and Similar Institutions	43.097172	-75.299549
Burger King	Restaurants and Other Eating Places	43.017047	-74.802798
Mohawk Valley Country Club	Other Amusement and Recreation Industries	43.027339	-74.913194
Coalyard Charlie's	Restaurants and Other Eating Places	43.206804	-75.456943
Stewart's Shops	Grocery Stores	43.21407	-75.467452
Price Chopper New England	Grocery Stores	43.079918	-75.643764
AutoVations	Automotive Repair and Maintenance	43.20428	-75.437703
Daylight Donuts	Specialty Food Stores	43.074024	-75.287016
Nails By Tina	Personal Care Services	43.023866	-74.986679
Designs By Shelly	Florists	43.044629	-74.85667
Marquee Cinemas	Motion Picture and Video Industries	43.09262	-75.314319
SmartStyle Family Hair Salons	Personal Care Services	43.02133	-74.997045
Dick s Sporting Goods	Sporting Goods, Hobby, and Musical Instrument Stores	43.0771	-75.643848
Uncles Tavern	Restaurants and Other Eating Places	43.102198	-75.293912
First Baptist Church	Religious Organizations	43.027228	-74.985864
Ben Jerry's ice cream	Restaurants and Other Eating Places	43.082928	-75.315824
Ella's Room Children's Consignment	Clothing Stores	43.222253	-75.482295
Visions From Above	Other Miscellaneous Store Retailers	43.025492	-74.984206
Next Level Barber Shop	Personal Care Services	43.082185	-75.323471
Totally Browtiful	Personal Care Services	43.047018	-75.273669
Stewart's Shops	Grocery Stores	43.016134	-75.033704
Furniture Weekend	Furniture Stores	43.027575	-74.978594
Gianni Lauryn Hair Studio	Personal Care Services	43.046994	-75.273444
Conservative Baptist Association Of America	Religious Organizations	43.05658	-75.259863
Geraty Pools & Spa Inc	Miscellaneous Durable Goods Merchant Wholesalers	43.021114	-74.992364
Jimmy Jazz	Clothing Stores	43.08296	-75.314736
Miracle-Ear	Health and Personal Care Stores	43.09628	-75.303285
Ann St Restaurant & Deli	Restaurants and Other Eating Places	43.040938	-74.858636
Cliff's Local Market	Grocery Stores	43.027891	-74.978736
All Seasons Outfitters	Sporting Goods, Hobby, and Musical Instrument Stores	43.084713	-75.32124
Kevin Bedford	Personal Care Services	43.085911	-75.328456
First United Methodist Church	Religious Organizations	43.216283	-75.45771
Best Food Chinese and Pizza	Restaurants and Other Eating Places	43.208974	-75.45322
Uvanni Park	Museums, Historical Sites, and Similar Institutions	43.203866	-75.458624
Heron Creek Golf Club's	Other Amusement and Recreation Industries	43.071223	-75.378575
Montgomery Street Park	Museums, Historical Sites, and Similar Institutions	43.016865	-75.047236
Tony's Pizzeria & Deli	Restaurants and Other Eating Places	43.047878	-75.381206
Boscov's	Department Stores	43.082054	-75.317754
Oneida Healthcare Center Extended Care Facility	General Medical and Surgical Hospitals	43.076883	-75.654596
Twin Ponds Country Club	Other Miscellaneous Store Retailers	43.10721	-75.282637
Famco Express	Gasoline Stations	43.055343	-75.279268
Olivia Dawn Hair Horizons	Personal Care Services	43.29758	-75.4727
Dans Auto repair	Automotive Repair and Maintenance	43.026336	-74.883366
Mattress Express Oneida	Furniture Stores	43.076009	-75.641995
Jo-Ann Fabric and Craft Stores	Sporting Goods, Hobby, and Musical Instrument Stores	43.0767	-75.294474
Oneida Health Rehabilitation And Extended Care	Nursing Care Facilities (Skilled Nursing Facilities)	43.076882	-75.65459
Kimchi Furji Sushi	Restaurants and Other Eating Places	43.076502	-75.64405
Charlie's Pizza	Restaurants and Other Eating Places	43.053369	-75.277206
Yahnundasis Golf Club	Other Amusement and Recreation Industries	43.083724	-75.307036
Clifford Fuel Co Mobil	Grocery Stores	43.240509	-75.437826
Carol's Crafts	Sporting Goods, Hobby, and Musical Instrument Stores	43.22741	-75.490811
Signature 81	Furniture Stores	43.04806	-75.379361
The Big Cheese	Restaurants and Other Eating Places	43.094982	-75.652254
The Treehouse Reading & Art Center	Book Stores and News Dealers	43.097276	-75.296825
Bartlett Baptist Church	Religious Organizations	43.134994	-75.441953
Christain And Missionary Alliance Church Rome New York	Religious Organizations	43.235945	-75.454748
Big Papi's Coquito Iceys	Bakeries and Tortilla Manufacturing	43.09006	-75.302139
Trunk n treasures	Used Merchandise Stores	43.216587	-75.468877
Joe Tahan's Furniture	Furniture Stores	43.207778	-75.463545
Glassy Business Window Tinting	Automotive Repair and Maintenance	43.101514	-75.294388
Little Falls Municipal Golf Course	Other Amusement and Recreation Industries	43.061362	-74.859601
Herkimer Eyecare Center	Health and Personal Care Stores	43.027531	-74.979534
Rock City Grocery	Grocery Stores	43.044745	-74.848962
K & K Dance Wear	Shoe Stores	43.095703	-75.651387
G K Management	Gasoline Stations	43.219477	-75.476361
Planet Fitness	Other Amusement and Recreation Industries	43.076713	-75.64401
Planned Parenthood Mohawk Hudson	Grocery Stores	43.03393	-74.987924
Holt John E Rev	Religious Organizations	43.072992	-75.294399
Dollar Tree	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.075962	-75.644007
Subway	Restaurants and Other Eating Places	43.015764	-75.034804
Merrill's Restaurant	Restaurants and Other Eating Places	43.18445	-75.333045
Precision Unlimited Carcare	Automotive Repair and Maintenance	43.079914	-75.390144
Mavis Discount Tire	Automotive Repair and Maintenance	43.078369	-75.648129
Pecoraro Dairy Prods	Office Supplies, Stationery, and Gift Stores	43.219045	-75.478843
Travelodge	Traveler Accommodation	43.042071	-74.859564
Mavis Discount Tire	Automotive Repair and Maintenance	43.025137	-74.985366
Wilcor International	Sporting Goods, Hobby, and Musical Instrument Stores	43.08542	-75.119625
Jean Burgdorf Piano Lessons	Sporting Goods, Hobby, and Musical Instrument Stores	43.237831	-75.456264
Vintage Spirits	Beer, Wine, and Liquor Stores	43.023076	-74.988887
