location_name	top_category	latitude	longitude
Home of the Good Shepherd	Home Health Care Services	42.982937	-73.78891
The Liferaft	Museums, Historical Sites, and Similar Institutions	42.732409	-73.674152
Saratoga County Forest	Museums, Historical Sites, and Similar Institutions	43.03382	-73.89671
Racquet World	Sporting Goods, Hobby, and Musical Instrument Stores	42.899148	-73.792253
C & C Unisex Hair Salon	Personal Care Services	43.102242	-73.739315
Famous Lunch	Restaurants and Other Eating Places	42.728717	-73.688976
Shoe Dept Encore	Shoe Stores	43.102052	-73.736771
St John's Lutheran Church Elca	Religious Organizations	42.660959	-73.768806
Boho Chic Boutique	Clothing Stores	43.002564	-73.851905
Envy Hair Salon	Personal Care Services	42.847004	-73.941386
K C Custom Framing	Home Furnishings Stores	43.124065	-73.766608
Needle Wurks	Personal Care Services	43.077367	-73.789734
Clifton Park Driving Range	Other Amusement and Recreation Industries	42.873662	-73.770945
Longfellows	Restaurants and Other Eating Places	43.061452	-73.728524
Black Mountain Wine & Liquor	Beer, Wine, and Liquor Stores	42.794935	-74.007996
Hannaford Supermarkets	Grocery Stores	42.628165	-73.810662
Agape Eye Care	Health and Personal Care Stores	42.977751	-73.788428
Albany Eye Associates Optical	Health and Personal Care Stores	42.673288	-73.7488
Moxie	Clothing Stores	43.088087	-73.778526
Dunkin'	Restaurants and Other Eating Places	42.738565	-73.673532
Svana Beauty Lounge	Personal Care Services	43.089481	-73.773048
Smith R L Sales	Automotive Repair and Maintenance	42.584271	-73.739093
Ahmadiyya Muslim Community Centre Albany Chapter	Religious Organizations	42.857764	-74.026693
Fourth Street Market	Grocery Stores	42.728932	-73.689335
Chris's Southern Connection	Restaurants and Other Eating Places	42.65262	-73.768492
Subway	Restaurants and Other Eating Places	42.665304	-73.790599
Mangino's	Restaurants and Other Eating Places	42.986247	-73.754981
Taft Furniture	Furniture Stores	43.07206	-73.793639
Debbie's Kitchen	Grocery Stores	42.652764	-73.768644
Jumpin' Jack's Drive In	Restaurants and Other Eating Places	42.82212	-73.956538
Xtramart	Gasoline Stations	42.908796	-73.898992
Midtown Tap & Tea Room	Restaurants and Other Eating Places	42.653384	-73.7883
Hounds On The Hudson	Other Personal Services	42.653111	-73.7693
CITGO	Gasoline Stations	42.885431	-73.926045
Kaffee House	Restaurants and Other Eating Places	43.07699	-73.80321
Crescent Estates Park	Museums, Historical Sites, and Similar Institutions	42.808798	-73.773042
Pacific Industries	Sporting Goods, Hobby, and Musical Instrument Stores	42.835982	-73.982808
Malta Child Care Center Malta Commons	Child Day Care Services	42.968587	-73.798084
The Daily Grind	Restaurants and Other Eating Places	42.730668	-73.690019
GameStop	Sporting Goods, Hobby, and Musical Instrument Stores	43.099846	-73.741736
Stewart's Shops	Grocery Stores	42.728725	-73.687822
Stewart's Shops	Grocery Stores	42.645631	-73.739211
Gochee's Garage	Automotive Repair and Maintenance	42.624028	-73.829064
Subway	Restaurants and Other Eating Places	42.634148	-73.746436
Uncle Sam Outfitters	Miscellaneous Durable Goods Merchant Wholesalers	42.749612	-73.632804
Subway	Restaurants and Other Eating Places	42.622241	-73.833983
Nibble	Restaurants and Other Eating Places	42.731055	-73.689934
LUKOIL North America	Gasoline Stations	42.796063	-73.96901
Mexican Connection	Restaurants and Other Eating Places	43.06781	-73.772269
Weight Watchers	Personal Care Services	42.646107	-73.777704
Applebee's	Restaurants and Other Eating Places	43.102204	-73.747594
Starbucks	Restaurants and Other Eating Places	42.646337	-73.697259
The Dead Presidents Lounge	Personal Care Services	42.665776	-73.792336
Superior Body Works	Automotive Repair and Maintenance	42.822613	-73.928788
Effie's Boutique	Clothing Stores	42.837404	-73.74312
Modern Nails	Personal Care Services	42.90269	-73.687436
Union Presbyterian Church	Religious Organizations	42.81417	-73.924237
Valvoline	Automotive Repair and Maintenance	42.860028	-73.76626
Metro Mattress	Furniture Stores	42.86001	-73.780184
Wonderland Grooming	Other Miscellaneous Store Retailers	43.093546	-73.743228
Yankee One Dollar Store	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.695941	-73.689571
Franciscan Friars	Religious Organizations	42.663343	-73.721763
Evolution Strength & Performance	Other Amusement and Recreation Industries	43.09369	-73.743225
Eric's Barbershop	Personal Care Services	42.829677	-73.968243
Family Dollar Stores	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.755881	-73.682065
Five Guys	Restaurants and Other Eating Places	42.646805	-73.700254
Cousin's Restaurant	Restaurants and Other Eating Places	42.821271	-73.928169
Mario's Pizza & Pasta	Restaurants and Other Eating Places	42.983722	-73.786193
Chabad Center	Religious Organizations	43.08194	-73.78008
Stewart's Shops	Grocery Stores	42.903225	-73.79643
Oliver's Cafe	Restaurants and Other Eating Places	42.847518	-73.942678
Redemption Church of Christ of the Apostolic Faith	Religious Organizations	42.761384	-73.681528
Troy Nails and Tan	Personal Care Services	42.738586	-73.676247
Amazing Intimate Essentials	Other Miscellaneous Store Retailers	42.738935	-73.685905
BodyBrite	Personal Care Services	42.628596	-73.813732
CVS	Health and Personal Care Stores	42.664568	-73.789351
Buddha Noodle	Restaurants and Other Eating Places	43.082757	-73.784248
PowerPillarsV	Personal Care Services	43.105758	-73.77185
VENT Fitness Clifton Park	Other Amusement and Recreation Industries	42.869616	-73.82391
Victorious Life Christian Church	Religious Organizations	42.731901	-73.687052
Speedway	Gasoline Stations	42.678695	-73.788752
Gavin JH Orr Companies	Building Material and Supplies Dealers	42.885332	-73.911925
Nails N Beyond	Personal Care Services	42.740069	-73.656685
Heavenly Nails	Personal Care Services	42.870904	-73.931281
Gratefull Glass	Other Miscellaneous Store Retailers	42.609251	-73.72569
Yip's Chinese Restaurant	Restaurants and Other Eating Places	42.623073	-73.737911
Hackett Park	Museums, Historical Sites, and Similar Institutions	42.672042	-73.741996
