location_name	top_category	latitude	longitude
Full Circle Beauty	Personal Care Services	42.708982	-73.710441
Angela Croteau Licensed Massage Therapist	Personal Care Services	42.74854	-73.941396
Johnny C's Pizzeria and Family Restaurant	Restaurants and Other Eating Places	42.781676	-73.952841
State Street Car Wash	Automotive Repair and Maintenance	42.798417	-73.925668
Capital City Church Inc	Religious Organizations	42.73244	-73.848572
Ferris Coin & Jewelry Co	Other Miscellaneous Store Retailers	42.723324	-73.799437
Crispy Basil Artisan Pizza Latham	Restaurants and Other Eating Places	42.736907	-73.761583
Hair by Kaylena	Personal Care Services	42.737205	-73.763594
Bob & Ron's Fish Fry	Restaurants and Other Eating Places	42.685038	-73.795296
Athleta	Clothing Stores	42.688427	-73.847912
DiNapoli Opticians	Health and Personal Care Stores	42.684378	-73.841074
Lyles Hoagies	Restaurants and Other Eating Places	42.784453	-73.907945
Inferno Pizzeria	Restaurants and Other Eating Places	42.738202	-73.7279
Homewood Suites by Hilton	Traveler Accommodation	42.687259	-73.852967
MGX Fitness	Other Amusement and Recreation Industries	42.691164	-73.868036
Lanie's Cafe	Restaurants and Other Eating Places	42.707591	-73.777188
Spare Time Latham	Other Amusement and Recreation Industries	42.745287	-73.750839
Core Pilates of Albany	Other Amusement and Recreation Industries	42.689377	-73.774685
The Protestant Reformed Dutch Church Of Niscayuna In The County	Religious Organizations	42.776074	-73.831486
Zeba Furniture	Furniture Stores	42.785535	-73.910473
Canine Clippers & Boutique	Other Personal Services	42.731957	-73.701484
Petco	Other Miscellaneous Store Retailers	42.736471	-73.764436
Miami Sun Tanning	Personal Care Services	42.678405	-73.828255
Cusato's Pizzeria	Restaurants and Other Eating Places	42.735665	-73.702096
Bruegger's	Restaurants and Other Eating Places	42.727214	-73.761105
Christmas Tree Shops	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.709343	-73.817157
Mr Dealz	Electronics and Appliance Stores	42.73198	-73.848377
Holy Trinity Church	Religious Organizations	42.777508	-73.712903
Raymour and Flanigan Furniture	Furniture Stores	42.75565	-73.756064
Stewart's Shops	Grocery Stores	42.77389	-73.936077
Bible Church of Christ	Religious Organizations	42.794322	-73.951289
Pizza Hut	Restaurants and Other Eating Places	42.804067	-73.903671
Walmart	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.785279	-73.94172
Bright Horizons	Child Day Care Services	42.683319	-73.765867
Scrumptious	Restaurants and Other Eating Places	42.758307	-73.77743
Dr Detail Auto Spa	Automotive Repair and Maintenance	42.695577	-73.79412
Steven Green Weichert Realtor Expert Advisors	Consumer Goods Rental	42.770603	-73.823575
NexGen Indoor Golf Center	Other Amusement and Recreation Industries	42.770849	-73.82427
Play It Again Sports	Sporting Goods, Hobby, and Musical Instrument Stores	42.762281	-73.797747
Jean Paul Salon	Personal Care Services	42.727786	-73.761141
51Vape Schenectady	Other Miscellaneous Store Retailers	42.760703	-73.882386
H&V Collision Center	Automotive Repair and Maintenance	42.782215	-73.905582
Dunkin'	Restaurants and Other Eating Places	42.689676	-73.849998
Blatnick Park	Museums, Historical Sites, and Similar Institutions	42.811689	-73.861485
Sunoco	Gasoline Stations	40.695309	-73.424546
Panache Spa	Personal Care Services	42.692205	-73.871338
A True North Massage	Personal Care Services	42.685187	-73.868458
Ardene	Clothing Stores	42.69002	-73.852535
T Time Adventures Inc	Child Day Care Services	42.802672	-73.901606
