key	count	category		
Auto	30558	SR		
Sales	23156	ST		
&	22232			
Nails	8672	SR		
Motors	7732	SR	ST	
Salon	7039	SR		
Spa	6552	SR		
The	6087			
Center	5545			
Hair	4668	SR		
Shop	4281	ST		
Nail	4172	SR		
Inc	3877			
And	3832			
Of	3533			
Cleaners	3212	SR		
Park	2896	AS		
Motor	2653	SR	ST	
A	2474			
Car	2401	SR	ST	
Cars	2355	SR	ST	
Market	2317	ST		
Sushi	2305	K		
House	2252			
Beauty	2216	SR		
Dental	2147	CC		
La	2058			
Bar	1974	K		
Bakery	1930	K		
Group	1870			
City	1854			
Store	1851	ST		
Studio	1835			
Thai	1699	K		
Barber	1686	SR		
Care	1682			
Insurance	1651	R		
Company	1580			
Kitchen	1566	K		
China	1496			
J	1493			
Family	1476			
Express	1419			
El	1397			
New	1359			
Food	1318	K	ST	
Authorized	1316			
Cuisine	1312	K		
Chinese	1307	K		
of	1302			
Supply	1272			
Liquor	1267	K		
Star	1243			
Boutique	1224	ST		
Dealer	1210	ST		
Repair	1206	SR		
Truck	1196	SR	ST	
Golf	1154			
Automotive	1125	SR	ST	
Services	1123	SR		
By	1123			
Donuts	1114	K		
Metropcs	1100			
Jewelry	1086	ST		
C	1083			
Service	1083	SR		
Jewelers	1076	ST		
World	1074			
N	1065			
Co	1063			
Mart	1063	ST	G	WT
D	1017			
Lounge	997			
B	996			
Best	975			
Pho	970	K		
M	967			
ST	956	K		
Massage	955	SR		
S	953			
R	930			
West	918			
Design	906			
Bistro	905	K		
Credit	902			
Sports	880	ST	EE	
Coffee	869	K		
Pizzeria	862	K		
T	850			
L	850			
Medical	848	CC		
K	846			
Pet	832	ST	SR	
Clinic	830	CC		
Theatre	827	ER		
Street	812			
Arts	808	ER	M	
Plus	803			
Valley	799			
Smoke	788			
Fitness	788	N		
and	785			
Winery	772	ST		
At	759			
Health	758	CC		
For	756			
Garden	755			
All	746			
Japanese	736	K		
Outlet	731	ST		
Wok	730			
On	728			
Day	728			
American	727			
Furniture	726	ST		
Club	710			
Plaza	702			
Mall	700	ST		
Shoe	693	ST		
Place	693			
One	689			
Dry	689			
2	685			
Mexican	676	K		
Autos	675	SR	ST	
Village	667			
Fine	667			
Animal	664			
Llc	662			
1	658			
Chiropractic	654	SR		
Golden	653			
South	651			
Hospital	646	H		
Liquors	645	ST		
Gallery	638	ER		
Fashion	634	ST		
Taqueria	628	K		
Bbq	618	K		
King	618			
Asian	609	K		
Dance	607	ER		
Art	604	ER		
Imports	602	ST		
Home	600			
Buffet	593	K		
Las	593			
Vapor	590	ST		
E	588			
Discount	587			
Yoga	586	N		
North	585			
Body	584	SR		
Wireless	583			
Laundry	582	SR		
Top	580			
De	576			
Tattoo	571	SR		
Beach	571			
San	567			
Pharmacy	563	J		
Country	556			
Super	552			
In	551			
H	547			
Chicken	545	K		
School	544	F		
